battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
54,4800MHz,i7,1360P,Intel,"5.00GHz,",Intel,Dell,21.990.000,16GB,LPDDR5,2560 x 1600,14.0,512GB,1.5 kg
47Wh,5200MHz,3-100U,100U,Intel,"4.70GHz,",Intel®,Lenovo,15.910.000,16GB,DDR5,1920x1080,15.6,512GB,1.61 kg
45WHr,5200MHz,i5,1335U,Intel,"4.60GHz,",Intel®,Lenovo,22.340.000,16GB(2x,DDR5,1920x1200,14.0,512GB,1.38 kg
47Wh,5200MHz,3-100U,100U,Intel,"4.70GHz,",Intel®,Lenovo,15.050.000,8GB,DDR5,1920x1080,15.6,512GB,1.61 kg
60WHr,5200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,20.700.000,16GB(1x,DDR5,1920x1200,14.0,512GB,1.38 kg
54Whr,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel,Dell,23.990.000,16GB,DDR4,1920 x 1080,15.6,1TB,1.62 kg
60WHr,5200MHz,i5,13500H,Intel,"4.70GHz,",Intel®,Lenovo,27.410.000,32GB(2x,DDR5,1920x1200,14.0,1TB,1.38 kg
"50WHrs,",3200MHz,i9,13900H,Intel,"5.40GHz,",Intel,Asus,24.990.000,16GB,DDR4,2880 x 1620,15.6,512GB,1.70 kg
"50WHrs,",3200MHz,i5,12500H,Intel,"4.5GHz,",Intel,Asus,17.990.000,16GB,DDR4,2880 x 1800,14,512GB,1.45 kg
59Wh,6400MHz,5,8640HS,AMD,"4.90GHz,",AMD,HP,18.990.000,16GB,LPDDR5,1920 x 1200,14,512GB,1.4 kg
45WHr,5200MHz,i5,1335U,Intel,"4.60GHz,",Intel®,Lenovo,23.430.000,16GB(2x,DDR5,1920x1200,14.0,1TB,1.38 kg
54WHrs,5200MHz,7,150U,Intel,"5.40GHz,",NVIDIA®,Dell,28.990.000,16GB,DDR5,1920 x 1200,16.0,1TB,Ice Blue (Xanh)
59Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,HP,36.590.000,32GB,LPDDR5,2880 x 1800,14,1TB,Đèn nền bàn phím
"3S1P,",8448MHz,EliteX1E,X,Snapdragon,"3.4GHz,",Qualcomm,Asus,34.990.000,32GB,LPDDR5X,2880 x 1620,15.6,1TB,1.42 kg
69.5Whr,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Dell,46.990.000,16GB,LPDDR5x,1920 x 1200,14.5,512GB,1.68 kg
57Wh,6400MHz,i7,1360P,Intel,"5.00GHz,",Intel®,Lenovo,40.990.000,16GB,DDR5,1920x1200,14,512GB,1.48 kg
47Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,20.580.000,8GB,DDR4,1920x1200,16.0,512GB,1.81 kg
59Wh,6400MHz,7,8840HS,AMD,"5.10GHz,",AMD,HP,33.990.000,16GB,LPDDR5,2880 x 1800,14,1TB,Đèn nền bàn phím
58WHrs,4800MHz,i3,1215U,Intel,"4.40GHz,",Intel®,Acer,10.490.000,8GB,DDR5,1920x1200,14.0,256GB,Silver (Bạc)
71Wh,7467MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,21.990.000,16GB,LPDDR5x,1920x1200,14.0,512GB,1.61 kg
47WH,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,Lenovo,25.990.000,16GB,DDR4,1920x1200,14,512GB,1.43 kg
50Wh,,5,7530U,AMD,"4.50GHz,",AMD,Acer,18.490.000,16GB,LPDDR4X,1920 x 1080,14,512GB,1.2kg
85Wh,7500MHz,7,8845H,AMD,"5.10GHz,",AMD,Lenovo,25.990.000,32GB,LPDDR5,2560x1600,16.0,1TB,1.90 kg
52.5Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,33.990.000,16GB,DDR5,1920x1200,16.0,512GB,Black (Đen)
59Wh,6400MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,HP,31.290.000,16GB,LPDDR5,2880 x 1800,14,1TB,Đèn nền bàn phím
71Wh,5600MHz,7,8845H,AMD,"5.10GHz,",AMD,Lenovo,23.990.000,16GB,DDR5,2560x1600,16.0,1TB,1.70 kg
85Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel,Lenovo,22.990.000,16GB,DDR5,2560x1600,16.0,512GB,1.90 kg
85Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel,Lenovo,27.990.000,16GB,DDR5,2560x1600,16.0,512GB,1.90 kg
60Wh,5600MHz,7,8845H,AMD,"5.10GHz,",AMD,Lenovo,22.990.000,16GB,DDR5,2880x1800,14.0,1TB,1.38 kg
60Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel,Lenovo,22.990.000,16GB,DDR5,2880x1800,14.0,1TB,1.38 kg
71Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel,Lenovo,23.990.000,16GB,DDR5,2560x1600,16.0,1TB,1.70 kg
85Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel,Lenovo,29.990.000,32GB,DDR5,2560x1600,16.0,1TB,1.90 kg
71Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel,Lenovo,26.990.000,16GB,DDR5,2560x1600,16.0,1TB,1.70 kg
60WHr,5200MHz,i5,13420H,Intel,"4.60GHz,",Integrated,Lenovo,18.990.000,16GB(2x,DDR5,1920x1200,14.0,512GB,1.38 kg
71WHr,4800MHz,i5,12500H,Intel,"4.50GHz,",Intel,Lenovo,18.990.000,16GB,DDR5,2560×1600,16.0,512GB,1.70 kg
"50WHrs,",3200MHz,i7,13700H,Intel,"5.00GHz,",Intel,Asus,21.990.000,16GB,DDR4,2880 x 1620,15.6,512GB,1.70 kg
71Wh,4800MHz,i5,13500H,Intel,"4.70GHz,",Intel,Lenovo,21.990.000,16GB,DDR5,2560 x 1600,16.0,512GB,1.70 kg
58WHr,4800MHz,i5,1235U,Intel,"4.40GHz,",Intel®,Acer,13.990.000,16GB,DDR5,"WUXGA, 1920 x 1200",16,512GB,Iron Gray (Xám)
73WHrs,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,47.290.000,32GB,LPDDR5x,2880x1800,14.5,1TB,1.59 kg
85Wh,7500MHz,7,8845H,AMD,"5.10GHz,",AMD,Lenovo,23.990.000,16GB,LPDDR5,2560x1600,16.0,1TB,1.90 kg
52.5Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,33.930.000,16GB,DDR5,1920x1200,16.0,512GB,Black (Đen)
71WHr,5200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,19.290.000,16GB,DDR5,1920x1200,16.0,512GB,1.70 kg
57Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Lenovo,58.040.000,16GB,LPDDR5x,1920x1200,14.0,512GB,1.35 kg
57Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Lenovo,61.100.000,32GB,LPDDR5x,1920x1200,14.0,1TB,1.35 kg
57Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Lenovo,63.440.000,32GB,LPDDR5x,2880x1800,14.0,1TB,1.35 kg
57Wh,6400MHz,i7,1355U,Intel,"5.00GHz,",Intel®,Lenovo,63.520.000,32GB,LPDDR5,3840x2400,14,512GB,1.38 kg
57Wh,6400MHz,i7,1355U,Intel,"5.00GHz,",Intel®,Lenovo,61.880.000,16GB,LPDDR5,3840x2400,14,512GB,1.38 kg
51.5Wh,,7,7840U,AMD,"5.10GHz,",AMD,Lenovo,53.150.000,16GB,LPDDR5x,1920x1200,13.3,512GB,1.29 kg
41WHr,3200MHz,7-150U,150U,Intel,"5.40GHz,",Intel,HP,23.490.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.59 kg
41WHr,5600MHz,Ultra7-155H,155H,Intel,"4.80GHz,",Intel®,HP,25.490.000,16GB,DDR5,1920 x 1080,15.6,1TB,1.59 kg
41WHr,3200MHz,7-150U,150U,Intel,"5.40GHz,",Intel,HP,24.490.000,16GB,DDR4,1920 x 1080,15.6,1TB,1.59 kg
41WHr,5600MHz,Ultra5-125H,125H,Intel,"4.50GHz,",Intel®,HP,21.590.000,16GB,DDR5,1920 x 1080,15.6,1TB,1.59 kg
57Wh,6400MHz,i7,1355U,Intel,"5.00GHz,",Intel®,Lenovo,63.340.000,16GB,LPDDR5,3840x2400,14,1TB,1.38 kg
52.5Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,31.930.000,32GB,DDR5,1920x1200,16.0,1TB,Black (Đen)
41WHr,5600MHz,Ultra7-155H,155H,Intel,"4.80GHz,",Intel®,HP,24.490.000,16GB,DDR5,1920 x 1080,15.6,512GB,1.59 kg
47Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,24.340.000,16GB,DDR5,1920x1200,14,512GB,1.44 kg
47Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,25.430.000,16GB,DDR5,1920x1200,14,1TB,1.44 kg
47Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,27.230.000,32GB,DDR5,1920x1200,14,1TB,1.44 kg
47Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,22.520.000,16GB,DDR5,1920x1200,14,512GB,1.44 kg
47Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,23.610.000,16GB,DDR5,1920x1200,14,1TB,1.44 kg
41WHr,3200MHz,5-120U,120U,Intel,"5.00GHz,",Intel,HP,20.790.000,16GB,DDR4,1920 x 1080,15.6,1TB,1.59 kg
47Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,24.890.000,16GB,DDR5,1920x1200,14,1TB,1.44 kg
47Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,26.680.000,32GB,DDR5,1920x1200,14,1TB,1.44 kg
47Wh,4800MHz,5,7535U,AMD,"4.55GHz,",AMD,Lenovo,21.060.000,16GB,DDR5,1920x1200,16.0,512GB,1.81 kg
47Wh,4800MHz,5,7535U,AMD,"4.55GHz,",AMD,Lenovo,22.890.000,16GB,DDR5,1920x1200,16.0,1TB,1.81 kg
46.5Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,24.890.000,16GB,DDR5,1920x1200,14,512GB,1.4 kg
47Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,23.790.000,16GB,DDR5,1920x1200,14,512GB,1.44 kg
46.5Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,23.790.000,16GB,DDR5,1920x1200,14,512GB,1.4 kg
46.5Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,32.480.000,32GB,DDR5,1920x1200,14,1TB,1.4 kg
46.5Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,27.790.000,32GB,DDR5,1920x1200,14,1TB,1.4 kg
46.5Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,26.680.000,32GB,DDR5,1920x1200,14,1TB,1.4 kg
71WHr,3200MHz,5,7530U,AMD,"4.50GHz,",AMD,Lenovo,23.070.000,16GB,DDR4,2560x1600,16.0,1TB,1.70 kg
46.5Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,33.210.000,16GB,DDR5,1920x1200,14,512GB,1.4 kg
46.5Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,29.590.000,16GB,DDR5,1920x1200,14,512GB,1.4 kg
50Wh,,7,5700U,AMD,"4.30GHz,",AMD,Acer,13.990.000,16GB,LPDDR4X,1920x1200,14,512GB,1.4 kg
38Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,15.590.000,16GB,DDR4,1920x1080,15.6,512GB,1.65 kg
57Wh,6400MHz,i7,1360P,Intel,"5.00GHz,",Intel®,Lenovo,36.990.000,16GB,DDR5,1920x1200,14,512GB,1.48 kg
57Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,53.390.000,16GB,LPDDR5x,1920x1200,14.0,512GB,1.09 kg
45Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Integrated,Lenovo,20.990.000,16GB,DDR5,1920x1200,14.0,512GB,1.38 kg
45Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Integrated,Lenovo,22.880.000,16GB,DDR5,1920x1200,14.0,512GB,1.38 kg
45Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Integrated,Lenovo,23.980.000,16GB,DDR5,1920x1200,14.0,1TB,1.38 kg
57Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,56.390.000,32GB,LPDDR5x,1920x1200,14.0,1TB,1.09 kg
45WHr,4800MHz,5,7535HS,AMD,"4.55GHz,",AMD,Lenovo,22.880.000,16GB,DDR5,1920x1200,16.0,1TB,1.70 kg
47Wh,5200MHz,7,150U,Intel,"5.40GHz,",Integrated,Lenovo,22.980.000,16GB,DDR5,1920x1080,14,512GB,1.37 kg
57Wh,3200MHz,i5,1335U,Intel,"4.60GHz,",Intel®,Lenovo,22.340.000,16GB,DDR4,1920x1200,14,512GB,1.43 kg
45WHr,4800MHz,5,7535HS,AMD,"4.55GHz,",AMD,Lenovo,21.790.000,16GB,DDR5,1920x1200,16.0,512GB,1.70 kg
54,4800MHz,i5,1340P,Intel,"4.60GHz,",Intel,Dell,19.990.000,16GB,LPDDR5,2560 x 1600,14.0,512GB,1.5 kg
57Wh,3200MHz,i5,1335U,Intel,"4.60GHz,",Intel®,Lenovo,21.610.000,8GB,DDR4,1920x1200,14,512GB,1.43 kg
57Wh,3200MHz,i5,1335U,Intel,"4.60GHz,",Intel®,Lenovo,20.340.000,8GB,DDR4,1920x1200,14,512GB,1.43 kg
47Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,19.050.000,8GB,DDR4,1920x1200,14,512GB,1.43 kg
47Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,19.670.000,16GB,DDR4,1920x1200,14,512GB,1.43 kg
47Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,20.340.000,8GB,DDR4,1920x1200,14,512GB,1.43 kg
47Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,21.320.000,16GB,DDR4,1920x1200,14,512GB,1.43 kg
99.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Dell,60.990.000,16GB,LPDDR5x,1920 x 1200,16.3,1TB,2.13 kg
55Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Dell,38.990.000,32GB,LPDDR5X,1920 x 1200,13.4,512GB,1.19 kg
57Wh,7467MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,23.690.000,16GB,LPDDR5x,1920x1200,14.0,1TB,1.48 kg
99.5Whr,7467MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,Dell,95.990.000,64GB,LPDDR5x,3840 x 2400,16.3,1TB,2.13 kg
99.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Dell,60.990.000,16GB,LPDDR5x,1920 x 1200,16.3,1TB,2.13 kg
99.5Whr,7467MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,Dell,86.990.000,32GB,LPDDR5x,3840 x 2400,16.3,1TB,2.13 kg
99.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Dell,68.990.000,16GB,LPDDR5x,3840 x 2400,16.3,512GB,2.13 kg
99.5Whr,7467MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,Dell,86.990.000,32GB,LPDDR5x,3840 x 2400,16.3,1TB,2.13 kg
99.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Dell,68.990.000,16GB,LPDDR5x,3840 x 2400,16.3,512GB,2.13 kg
99.5Whr,7467MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,Dell,95.990.000,64GB,LPDDR5x,3840 x 2400,16.3,1TB,2.13 kg
69.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Dell,62.990.000,32GB,LPDDR5x,3200 x 2000,14.5,1TB,1.68 kg
69.5Whr,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Dell,46.990.000,16GB,LPDDR5x,1920 x 1200,14.5,512GB,1.68 kg
69.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Dell,53.990.000,16GB,LPDDR5x,1920 x 1200,14.5,512GB,1.68 kg
69.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Dell,80.990.000,64GB,LPDDR5x,3200 x 2000,14.5,2TB,1.68 kg
69.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Dell,71.990.000,32GB,LPDDR5x,3200 x 2000,14.5,1TB,1.68 kg
"50WHrs,",3200MHz,i5,13500H,Intel,"4.70GHz,",Intel,ASUS,20.990.000,16GB,DDR4,2880x1620,15.6,512GB,1.64 kg
55Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Dell,35.990.000,16GB,LPDDR5X,1920 x 1200,13.4,512GB,1.19 kg
59Wh,6400MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,HP,26.990.000,16GB,LPDDR5,1920 x 1200,14,1TB,1.4 kg
68Wh,6400MHz,Ultra5,125U,Intel,"4.30GHz,",Intel,HP,20.990.000,16GB,LPDDR5,1920 x 1200,16,512GB,1.87 kg
55Whr,7467MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Dell,59.990.000,16GB,LPDDR5X,1920 x 1200,13.4,2TB,1.19 kg
54Whrs,5200MHz,5-120U,120U,Intel,"5.00GHz,",Intel®,Dell,23.490.000,16GB,DDR5,1920 x 1200,14.0,512GB,1.56 kg
57Wh,7500MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,56.990.000,32GB,LPDDR5x,1920x1200,14.0,512GB,1.08 kg
54Whrs,5200MHz,7-150U,150U,Intel,"5.40GHz,",Intel®,Dell,25.990.000,16GB,DDR5,1920 x 1200,14.0,512GB,1.56 kg
57Wh,7500MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,53.490.000,16GB,LPDDR5x,1920x1200,14.0,512GB,1.08 kg
75WHr,7467MHz,™,125H,Intel,"4.50GHz,",Intel®,Asus,19.990.000,8GB,LPDDR5,1920 x 1200,14.0,512GB,1.28 kg
"75WHrs,",7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Asus,29.990.000,16GB,LPDDR5X,3200 x 2000,16.0,512GB,1.50 kg
75WHr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Asus,25.990.000,16GB,LPDDR5X,1920 x 1200,14.0,1TB,1.28 kg
"63WHrs,",7467MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Asus,44.990.000,32GB,LPDDR5x,2880 x 1800,13.3,1TB,Bazan Grey (Xám)
54WHrs,5200MHz,i5,1334U,Intel,"4.60GHz,",Intel,Dell,24.490.000,16GB,DDR5,1920 x 1200,16.0,512GB,Ice Blue (Xanh)
65Wh,6400MHz,Ultra5,125H,Intel,"4.50Ghz,",Intel,Acer,23.990.000,16GB,LPDDR5x,2880 x 1800,14,512GB,1.37 kg
54WHrs,5200MHz,7-150U,150U,Intel,"5.40GHz,",NVIDIA,Dell,32.790.000,16GB,DDR5,2560x1600,16.0,1TB,Ice Blue (Xanh)
65Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel,Acer,26.990.000,16GB,LPDDR5x,2880 x 1800,14,512GB,1.37 kg
50WHrs,4800MHz,i5,120U,Intel,"5.00GHz,",Intel®,Acer,15.990.000,16GB,LPDDR5,1920x1080,15.6,512GB,1.78 kg
69.5Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA,Dell,78.990.000,64GB,LPDDR5X,3200 x 2000,14.5,1TB,1.74 kg
55Whr,7467MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Dell,52.990.000,16GB,LPDDR5X,1920 x 1200,13.4,1TB,1.19 kg
54Whrs,5200MHz,5-120U,120U,Intel,"5.00GHz,",Intel®,Dell,24.990.000,16GB,DDR5,1920 x 1200,14.0,1TB,1.56 kg
54Whrs,5200MHz,7-150U,150U,Intel,"5.40GHz,",NVIDIA,Dell,29.990.000,16GB,DDR5,2240x1400,14.0,1TB,1.56 kg
54WHrs,5200MHz,5,120U,Intel,"5.00GHz,",Intel®,Dell,24.790.000,16GB,DDR5,1920 x 1200,16.0,1TB,Ice Blue (Xanh)
54Whrs,5200MHz,5-120U,120U,Intel,"5.00GHz,",NVIDIA,Dell,27.190.000,16GB,DDR5,2240x1400,14.0,512GB,1.56 kg
Cell,,i5,1334U,Intel,"4.60GHz,",Intel®,Dell,20.490.000,8GB,DDR5,1920 x 1200,14.0,512GB,1.67 kg
54WHrs,5200MHz,7-150U,150U,Intel,"5.40GHz,",Intel®,Dell,27.690.000,16GB,DDR5,1920 x 1200,16.0,1TB,Ice Blue (Xanh)
68,6400MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,50.990.000,16GB,LPDDR5,1920 x 1280,13.5,1TB,0.99 kg
75Whr,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,MSI,33.990.000,32GB,LPDDR5,2880 x 1800,13.3,1TB,Stellar Gray
41WHrs,,i5,1335U,Intel,"4.40GHz,",Intel®,Lenovo,30.990.000,16GB,,1920x1200,13.3,512GB,1.12 kg
50WHrs,3200MHz,i5,13500H,Intel,"4.7GHz,",Intel,Asus,20.990.000,16GB,DDR4,2880 x 1800,14,512GB,1.45 kg
"63Whr,",,i7,1355U,Intel,"5.10GHz,",Intel®,Asus,55.990.000,32GB,LPDDR5,2880 x 1800,14.0,1TB,0.99 kg
"63Whr,",,i7,1355U,Intel,"5.10GHz,",Intel®,Asus,49.990.000,16GB,LPDDR5,2880 x 1800,14.0,1TB,0.99 kg
42WHrs,3200MHz,i3,1315U,Intel,"4.50GHz,",Intel,Asus,11.990.000,8GB,DDR4,1920 x 1080,15.6,256GB,1.69 kg
54Whr,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel,Dell,22.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.62 kg
42WHrs,3200MHz,i5,1355U,Intel,"4.60GHz,",Intel,Asus,16.290.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.69 kg
47Wh,4800MHz,i7,13620H,Intel,"4.90GHz,",Intel®,Lenovo,18.490.000,16GB,LPDDR5,1920x1080,14,512GB,1.37 kg
39.3WHr,3200MHz,i7,13700H,Intel,"5.00GHz,",Intel®,MSI,22.490.000,16GB,DDR4,1920x1080,15.6,1TB,1.80 Kg
51Wh,3200MHz,i5,1340P,Intel,"4.60GHz,",Intel,HP,23.590.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.78 kg
41WHrs,3200MHz,i5,1335U,Intel,"4.60GHz,",Intel,Dell,19.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.66 kg
57Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,28.690.000,32GB,LPDDR5x,1920x1200,14.0,1TB,1.46 kg
45WH,3200MHz,i7,1255U,Intel,"4.70GHz,",Intel,Lenovo,20.990.000,16GB,DDR4,1920x1080,14.0,512GB,1.64 kg
"50WHrs,",3200MHz,7,7730U,AMD,"4.50GHz,",AMD,ASUS,18.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.60 kg
56WHrs,4800MHz,i7,13700H,Intel,"5.00GHz,",Intel,Acer,40.990.000,32GB,LPDDR5,2560x1600,14,1TB,1.2 kg
