battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
38Wh,3200MHz,i3,1315U,Intel,"4.50GHz,",Intel,Lenovo,11.930.000,8GB,DDR4,1920x1080,15.6,256GB,1.65 kg
55WHr,,i7,1355U,Intel,"5.00GHz,",Intel,HP,24.990.000,16GB,LPDDR5,1920 x 1080,15.6,512GB,1.91 kg
kg,4800MHz,i7,1355U,Intel,"5.00GHz,",Intel,Dell,37.990.000,16GB,LPDDR5,1920x1080,13.3,512GB,Xám
64WHr,4800MHz,i7,13620H,Intel,"4.90GHz,",Intel®,Dell,23.990.000,16GB,LPDDR5,2560 x 1600,14.0,1TB,1.66 kg
50Wh,,5,7530U,AMD,"4.50GHz,",AMD,Acer,19.490.000,16GB,LPDDR4X,1920 x 1080,14,1TB,1.2kg
51WHrs,3200MHz,i5,1335U,Intel,"4.60GHz,",Intel®,HP,24.590.000,16GB,DDR4,1920 x 1080,14.0,512GB,1.41 kg
51WHrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,27.490.000,16GB,DDR4,1920 x 1080,14.0,512GB,1.41 kg
50Wh,,i3,1305U,Intel,"4.50GHz,",Intel,Acer,12.990.000,8GB,LPDDR5,1920 x 1080,15.6,512GB,1.7kg
50Wh,4800MHz,i9,13900H,Intel,"5.40GHz,",Intel,Acer,23.990.000,16GB,LPDDR5,1920 x 1080,15.6,512GB,1.7 kg
38Wh,3200MHz,i3,1315U,Intel,"4.50GHz,",Intel®,Lenovo,13.690.000,8GB,DDR4,1920x1080,14,512GB,1.43 kg
41WHrs,4800MHz,i7,1355U,Intel,"5.00GHz,",Intel®,Lenovo,38.890.000,16GB,LPDDR5,1920x1200,13.3,512GB,1.12 kg
51Wh,3200MHz,i5,1335U,Intel,"4.60GHz,",Intel,HP,21.490.000,8GB,DDR4,1920 x 1080,14,512GB,1.37 kg
41Wh,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel,HP,21.990.000,16GB,DDR4,1920 x 1080,14,512GB,1.47 kg
56.6Wh,4800MHz,i5,12450H,Intel,"4.40GHz,",Intel®,Lenovo,16.990.000,16GB,LPDDR5,1920x1200,14.0,512GB,1.46 kg
57Wh,4800MHz,i7,1355U,Intel,"5.00GHz,",Intel®,Lenovo,49.990.000,32GB,LPDDR5x,1920x1200,14,512GB,1.48 kg
52.5Wh,,i7,1360P,Intel,"5.00GHz,",NVIDIA®,Lenovo,42.770.000,32GB,LPDDR5x,1920x1200,16,1TB,1.70 kg
41Wh,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel,HP,20.990.000,8GB,DDR4,1920 x 1080,14,512GB,1.47 kg
57Wh,3200MHz,i5,13500H,Intel,"4.70GHz,",Intel®,Lenovo,21.990.000,16GB,DDR4,1920x1200,16.0,512GB,1.81 kg
90Wh,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,Lenovo,55.670.000,32GB,DDR5,1920x1200,16,1TB,2.20 kg
"75WHrs,",7467MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Asus,28.990.000,16GB,LPDDR5X,2880 x 1800,14.0,512GB,Bạc
57Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,27.690.000,32GB,LPDDR5x,1920x1200,14.0,512GB,1.48 kg
57Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,27.690.000,32GB,LPDDR5x,2048x1280,16.0,512GB,1.82 kg
57Wh,7467MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,22.690.000,16GB,LPDDR5x,1920x1200,14.0,512GB,1.48 kg
"75WHrs,",7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Asus,34.990.000,32GB,LPDDR5X,2880 x 1800,14.0,1TB,Blue
"75WHrs,",7467MHz,Ultra9,185H,Intel,"5.10GHz,",Intel®,Asus,36.990.000,32GB,LPDDR5X,2880 x 1800,14.0,1TB,Blue
99Whr,6400MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,MSI,55.990.000,32GB,LPDDR5,3840x2400,16,1TB,1.60 kg
52.5Wh,,i7,1360P,Intel,"5.00GHz,",NVIDIA®,Lenovo,41.340.000,32GB,LPDDR5x,1920x1200,16,512GB,1.70 kg
65WHrs,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,30.990.000,32GB,LPDDR5x,1920x1200,14.0,512GB,1.40 kg
39.3WHr,3200MHz,i7,13700H,Intel,"5.00GHz,",Intel®,MSI,21.990.000,16GB,DDR4,1920x1200,14.0,1TB,1.60 Kg
Cell,4800MHz,i5,1340P,Intel,"4.60GHz,",Intel,Dell,21.990.000,16GB,LPDDR5,1920 x 1200,14.0,512GB,1.5 kg
41Whr,2666MHz,i5,1334U,Intel,"4.60GHz,",Intel,Dell,17.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.85 kg
41Wh,3200MHz,i3,,Intel,"3.80GHz,",Intel,HP,11.690.000,16GB,DDR4,1366x768,14,512GB,1.47 kg
39.3WHrs,5200MHz,i7,1360P,Intel,"5.00GHz,",Intel,Lenovo,37.990.000,16GB,DDR5,1920x1200,14.0,512GB,1.36 Kg
57Wh,7467MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,23.690.000,16GB,LPDDR5x,2048x1280,16.0,512GB,1.82 kg
71WHrs,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,30.990.000,16GB,LPDDR5x,1920x1200,14.0,512GB,1.49 kg
57Wh,5200MHz,5,120U,Intel,"5.00GHz,",Integrated,Lenovo,22.690.000,32GB,LPDDR5x,1920x1200,15.3,512GB,1.79 kg
47WH,3200MHz,i5,1335U,Intel,"4.60GHz,",Intel®,Lenovo,19.990.000,8GB,DDR4,1920x1200,16.0,512GB,1.81 kg
60WHr,5200MHz,i5,13500H,Intel,"4.70GHz,",Integrated,Lenovo,23.250.000,16GB(1x,DDR5,1920x1200,14.0,512GB,1.38 kg
72Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,LG,41.390.000,16GB,LPDDR5X,1920x1200,14,512GB,1120 g
77Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,LG,45.490.000,16GB,LPDDR5X,2560 x 1600,16,512GB,1199 g
58WHrs,4800MHz,i5,1235U,Intel,"4.40GHz,",Intel®,Acer,14.990.000,16GB,DDR5,1920x1200,14.0,512GB,Silver (Bạc)
36.7WHr,3200MHz,i5,1155G7,Intel,"4.50GHz,",Intel,Acer,12.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,Gray (Xám)
41WHr,3200MHz,i3,1215U,Intel,"4.40GHz,",Intel,HP,13.390.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.7 kg
45Whr,3200MHz,5,7530U,AMD,"4.50GHz,",AMD,Lenovo,16.990.000,16GB(1x,DDR4,1920x1200,14.0,512GB,1.38 kg
63WHrs,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Asus,31.990.000,16GB,DDR5,1920 x 1200,14.0,512GB,1.40 kg
38Wh,5500MHz,5,7520U,AMD,"4.30GHz,",AMD,Lenovo,14.350.000,16GB,LPDDR5,1920x1080,15.6,512GB,1.65 kg
73WHrs,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,47.290.000,32GB,LPDDR5x,2880x1800,14.5,1TB,1.59 kg
71Wh,3200MHz,7,7730U,AMD,"4.50GHz,",AMD,Lenovo,22.990.000,16GB(1x,DDR4,2560x1600,16,512GB,1.70 kg
47Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,24.160.000,16GB,DDR5,1920x1200,14,1TB,1.44 kg
47Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,22.160.000,16GB,DDR4,1920x1200,14,1TB,1.43 kg
38Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,15.090.000,8GB,DDR4,1920x1080,15.6,512GB,1.65 kg
46.5Wh,5600MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Lenovo,28.500.000,16GB,DDR5,1920x1200,14,512GB,1.4 kg
46.5Wh,5600MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Lenovo,31.390.000,32GB,DDR5,1920x1200,14,1TB,1.4 kg
47Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,23.070.000,16GB,DDR5,1920x1200,14,512GB,1.44 kg
52.5Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,32.300.000,32GB,DDR5,1920x1200,16.0,1TB,Black (Đen)
52.5Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,30.500.000,16GB,DDR5,1920x1200,16.0,1TB,Black (Đen)
52.5Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,29.050.000,16GB,DDR5,1920x1200,16.0,512GB,Black (Đen)
52.5Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,29.410.000,16GB,DDR5,1920x1200,16.0,512GB,Black (Đen)
51.5Wh,,7,7840U,AMD,"5.10GHz,",AMD,Lenovo,54.790.000,32GB,LPDDR5x,1920x1200,13.3,1TB,1.29 kg
41WHr,3200MHz,5-120U,120U,Intel,"5.00GHz,",Intel,HP,19.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.59 kg
51.5Wh,,7,7840U,AMD,"5.10GHz,",AMD,Lenovo,60.190.000,64GB,LPDDR5x,1920x1200,13.3,1TB,1.29 kg
52.5Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,30.140.000,16GB,DDR5,1920x1200,16.0,1TB,Black (Đen)
41WHrs,4400MHz,i5,1334U,Intel,"4.60GHz,",Intel,Dell,21.490.000,16GB,DDR5,1920 x 1200,14.0,512GB,1.69 kg
54Whrs,5200MHz,7-150U,150U,Intel,"5.40GHz,",Intel,Dell,26.490.000,16GB,DDR5,1920 x 1200,14.0,1TB,1.56 kg
77Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,LG,49.290.000,16GB,LPDDR5X,2560 x 1600,"17""",1TB,1350 g
55Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Dell,63.990.000,16GB,LPDDR5X,2560x1600,13.4,1TB,1.243 kg
60Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,LG,46.500.000,16GB,LPDDR5X,1920 x 1080,"15.6""",512GB,990 g
57Wh,6400MHz,7,8845HS,AMD,"5.10GHz,",AMD,Lenovo,23.190.000,16GB,LPDDR5x,1920x1200,14.0,512GB,1.48 kg
79.6Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,LG,51.490.000,16GB,LPDDR5X,2880 x 1800,16,512GB,1199g
57Wh,6400MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,52.990.000,32GB,LPDDR5x,1920x1200,14.0,1TB,1.09 kg
54.7Wh,6400MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,31.990.000,16GB,LPDDR5x,1920x1200,13.3,512GB,1.17 kg
47Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,19.490.000,16GB,DDR4,1920x1200,16.0,512GB,1.81 kg
76WHrs,6400MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Acer,47.490.000,32GB,LPDDR5X,"WQXGA+, 2880x1800",14.5,1TB,1.5 kg
50Wh,4800MHz,i3,,Intel,"3.80GHz,",Intel®,Acer,10.990.000,8GB,LPDDR5,1920x1080,15.6,512GB,1.75 kg
76WHrs,6400MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Acer,53.990.000,32GB,LPDDR5X,"WQXGA+, 2880x1800",14.5,1TB,1.5 kg
42WHrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel,Dell,27.990.000,16GB,DDR4,1920 x 1080,14,512GB,Grayish Black
76WHrs,6400MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Acer,44.990.000,32GB,LPDDR5X,"WQXGA+, 2880x1800",14.5,1TB,1.5 kg
42WHrs,3200MHz,i5,1335U,Intel,"4.60GHz,",Intel,Dell,21.290.000,16GB,DDR4,1920x1080,15.6,512GB,Black (Đen)
42WHrs,3200MHz,i5,1235U,Intel,"4.40GHz,",Intel,Dell,19.190.000,16GB,DDR4,1920x1080,15.6,512GB,Black (Đen)
38Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,14.990.000,16GB,DDR4,1920x1080,14,512GB,1.43 kg
52.5WHrs,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel,Lenovo,31.990.000,16GB,DDR5,1920x1200,14.0,512GB,1.36 Kg
42WHrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel,Dell,26.390.000,16GB,DDR4,1920x1080,15.6,512GB,Black (Đen)
41Wh,,i5,1235U,Intel,"4.40GHz,",Intel,Dell,17.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.85 kg
41Whrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,21.990.000,32GB,DDR4,1920 x 1080,15.6,1TB,1.7 kg
41Whrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,21.490.000,16GB,DDR4,1920 x 1080,15.6,1TB,1.7 kg
90Wh,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,Lenovo,68.720.000,32GB,DDR5,3840x2400,16,1TB,2.20 kg
52.5Wh,,i5,1340P,Intel,"4.60GHz,",NVIDIA®,Lenovo,36.120.000,16GB,LPDDR5x,1920x1200,16,512GB,1.70 kg
52.5Wh,7500MHz,i7,1360P,Intel,"5.00GHz,",NVIDIA®,Lenovo,42.440.000,32GB,LPDDR5x,2240x1400,14,512GB,1.34 kg
86Wh,4800MHz,i5,13420H,Intel,"4.60GHz,",Intel,Dell,21.990.000,16GB,DDR5,2560x1600,16,1TB,2.06 kg
41Whrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,21.490.000,16GB,DDR4,1920 x 1080,15.6,1TB,1.7 kg
54WHr,5200MHz,7,150U,Intel,"5.40GHz,",Intel®,Dell,22.990.000,16GB,DDR5,1920 x 1200,14.0,1TB,1.71 kg
41Whrs,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,HP,21.490.000,16GB,DDR4,1920 x 1080,15.6,1TB,1.7 kg
45Whr,3200MHz,7,7730U,AMD,"4.50GHz,",AMD,Lenovo,19.990.000,16GB(1x,DDR4,1920x1200,14.0,512GB,1.38 kg
85WHr,7500MHz,7,8845H,AMD,"5.10GHz,",AMD,Lenovo,25.590.000,32GB,LPDDR5x,2560 x 1600,14.5,1TB,1.5 kg
71Wh,5200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,Lenovo,24.990.000,16GB,DDR5,1920x1200,16,512GB,1.7 kg
"75WHrs,",7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Asus,29.990.000,16GB,LPDDR5X,2880 x 1800,14.0,512GB,1.30 kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,49.990.000,32GB,DDR5,3072 x 1920,14.5,512GB,1.61kg
71Wh,5200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,20.590.000,16GB,DDR5,1920x1200,16,512GB,1.7 kg
68Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,HP,36.990.000,16GB,LPDDR5x,2880 x 1800,14,1TB,1.4 kg
52.5WHrs,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,30.990.000,16GB,DDR5,1920x1200,14.0,512GB,1.36 Kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,49.190.000,64GB(2x,DDR5,1920x1200,16,1TB,1.82 kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,51.800.000,32GB(1x,DDR5,1920x1200,16,1TB,1.82 kg
57Wh,6400MHz,7,8845H,AMD,"5.10GHz,",AMD,Lenovo,18.990.000,16GB,LPDDR5X,1920x1200,14,512B,1.46kg
75Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",NVIDIA®,Lenovo,46.730.000,32GB(2x,DDR5,1920x1200,16,1TB,1.82 kg
75Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",NVIDIA®,Lenovo,43.640.000,16GB(1x,DDR5,1920x1200,16,512GB,1.82 kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,43.820.000,16GB(1x,DDR5,1920x1200,16,512GB,1.82 kg
75Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",NVIDIA®,Lenovo,40.690.000,32GB(2x,DDR5,1920x1200,16,1TB,1.82 kg
75Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Lenovo,46.920.000,32GB(1x,DDR5,1920x1200,16,1TB,1.82 kg
56Wh,5600MHz,Ultra5-125U,125U,Intel,"4.30GHz,",Intel®,HP,24.990.000,16GB(1x16GB),DDR5,1920 x 1200,13.3,512GB,Silver (Bạc)
75Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",NVIDIA®,Lenovo,40.390.000,32GB(2x,DDR5,1920x1200,16,512GB,1.82 kg
56Wh,5600MHz,Ultra5-125U,125U,Intel,"4.30GHz,",Intel®,HP,23.990.000,16GB(1x16GB),DDR5,1920 x 1200,13.3,512GB,Silver (Bạc)
56Wh,5600MHz,Ultra5-125U,125U,Intel,"4.30GHz,",Intel®,HP,27.890.000,16GB(1x16GB),DDR5,1920 x 1200,13.3,512GB,Silver (Bạc)
56Wh,5600MHz,Ultra7-155U,155U,Intel,"4.80GHz,",Intel®,HP,30.990.000,16GB(1x16GB),DDR5,1920 x 1200,13.3,512GB,Silver (Bạc)
56Wh,5600MHz,Ultra5-125U,125U,Intel,"4.30GHz,",Intel®,HP,28.890.000,16GB(1x16GB),DDR5,1920 x 1200,13.3,512GB,Silver (Bạc)
56Wh,5600MHz,Ultra7-155U,155U,Intel,"4.80GHz,",Intel®,HP,29.390.000,16GB(1x16GB),DDR5,1920 x 1200,13.3,512GB,Silver (Bạc)
56Wh,5600MHz,Ultra7-155U,155U,Intel,"4.80GHz,",Intel®,HP,31.990.000,16GB(1x16GB),DDR5,1920 x 1200,13.3,512GB,Silver (Bạc)
43Wh,3200MHz,5,120U,Intel,"5.00GHz,",Intel®,HP,24.990.000,16GB,DDR4,1920 x 1080,14,512GB,1.51 kg
57Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,26.890.000,16GB,LPDDR5x,1920x1200,14.0,512GB,1.46 kg
43Wh,3200MHz,7-150U,150U,Intel,"5.40GHz,",Intel®,HP,28.300.000,16GB,DDR4,1920 x 1080,14,512GB,1.51 kg
56Wh,5600MHz,Ultra7-155U,155U,Intel,"4.80GHz,",Intel®,HP,28.390.000,16GB(1x16GB),DDR5,1920 x 1200,13.3,512GB,Silver (Bạc)
52.5WHrs,5600MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Lenovo,34.490.000,16GB,DDR5,1920x1200,14.0,512GB,1.36 Kg
54WHr,5200MHz,7,150U,Intel,"5.40GHz,",Intel®,Dell,36.990.000,16GB,DDR5,1920 x 1200,14.0,1TB,1.74 kg
52.5Wh,7500MHz,i7,1360P,Intel,"5.00GHz,",NVIDIA®,Lenovo,47.390.000,32GB,LPDDR5x,1920x1200,16,1TB,1.70 kg
57Wh,5600MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,Lenovo,55.990.000,32GB,DDR5,1920x1200,16,512GB,1.61 kg
73WHrs,7500MHz,AI9,,AMD,"5.00GHz,",AMD,Lenovo,41.990.000,32GB,LPDDR5x,2880x1800,14.5,1TB,1.54 kg
1.46kg,6400MHz,7,8745H,AMD,"4.90GHz,",AMD,Lenovo,22.990.000,24GB,LPDDR5X,2880×1800,14,1TB,Xám
75Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",NVIDIA®,Lenovo,40.490.000,32GB,DDR5,1920x1200,14.5,1TB,1.61kg
70Whr,5200MHz,i7,12700H,Intel,"4.70GHz,",NVIDIA®,Lenovo,26.990.000,16GB,LPDDR5,3072x1920,14.5,512GB,1.45 kg
56Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel,HP,28.990.000,16GB,DDR5,1920 x 1200,16,512GB,1.75 kg
68Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,HP,45.990.000,32GB,LPDDR5x,2880 x 1800,14,2TB,1.4 kg
42Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Dell,26.990.000,16GB,DDR5,1920x1080,14.0,512GB,1.40 kg
55Whr,7467MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Dell,56.990.000,16GB,LPDDR5X,2560 x 1600,13.4,2TB,1.19 kg
54WHrs,6400MHz,Ultra5,135U,Intel,"4.40GHz,",Intel,Dell,38.490.000,16GB,LPDDR5,1920x1200,13.3,512GB,1.15 kg
47Wh,5200MHz,5,120U,Intel,"5.00GHz,",Integrated,Lenovo,18.490.000,16GB,DDR5,1920x1080,14,256GB,1.37 kg
Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Dell,23.990.000,16GB,LPDDR5X,1920x1200,16,1TB,2.18 kg
54.7Wh,6400MHz,Ultra5-125U,125U,Intel,"4.30GHz,",Intel®,Lenovo,31.990.000,16GB,LPDDR5x,1920x1200,13.3,512GB,1.17 kg
58Whr,4800MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Acer,22.990.000,16GB,DDR5X,1920 x 1200,14,512GB,1.27 kg
57Wh,6400MHz,Ultra7,165U,Intel,"4.90GHz,",Intel®,Lenovo,65.390.000,64GB,LPDDR5x,2880x1800,14.0,1TB,1.09 kg
47Wh,5200MHz,7,150U,Intel,"5.40GHz,",Integrated,Lenovo,22.490.000,16GB,DDR5,1920x1080,14,512GB,1.37 kg
47Wh,5600MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,23.790.000,16GB,DDR5,1920x1200,16.0,512GB,1.81 kg
56Wh,7500MHz,Ultra5,135U,Intel,"4.40GHz,",Intel®,HP,49.990.000,16GB,LPDDR5x,1920 x 1200,13.3,512,"Fingerprint, LED Keyboard"
56Wh,7500MHz,Ultra7,165U,Intel,"4.90GHz,",Intel®,HP,57.990.000,16GB,LPDDR5x,1920 x 1200,13.3,512GB,"Fingerprint, LED Keyboard"
41Wh,2666MHz,i5,1235U,Intel,"4.40GHz,",Intel,Dell,16.190.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.90 kg
47Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,28.890.000,16GB,DDR5,1920x1200,14,512GB,1.44 kg
47Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,20.890.000,16GB,DDR4,1920x1200,16.0,512GB,1.81 kg
47Wh,5600MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,Lenovo,28.390.000,16GB,DDR5,1920x1200,14,512GB,1.44 kg
38Wh,3200MHz,i5,13420H,Intel,"4.60GHz,",Intel®,Lenovo,13.990.000,8GB,DDR4,1920x1080,15.6,512GB,1.65 kg
58Wh,6400MHz,Ultra5,125U,Intel,"4.30GHz,",Intel®,Lenovo,35.390.000,16GB,LPDDR5x,1920x1200,14.0,512GB,1.24 kg
57Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,58.490.000,32GB,LPDDR5x,2880x1800,14.0,1TB,1.09 kg
47Wh,3200MHz,7,7730U,AMD,"4.50GHz,",AMD,Lenovo,16.390.000,16GB,DDR4,1920x1080,15.6,512GB,1.62 kg
"75WHrs,",7467MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,ASUS,28.990.000,16GB,LPDDR5X,2880 x 1800,14.0,512GB,Ponder Blue
47Wh,5200MHz,5,120U,Intel,"5.00GHz,",Intel®,Lenovo,19.990.000,16GB,DDR5,1920x1080,15.6,512GB,1.61 kg
