Battery (WHrs),Bus (MHz),CPU Brand Modifier,CPU Generation,CPU Manufacturer,CPU Speed (GHz),GPU Manufacturer,Manufacturer,RAM (GB),RAM Type,Screen Resolution,Screen Size (Inches),Storage (GB),Weight (kg),Price
46.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.4,29590000
46.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,DDR5,1920x1200,14.0,1024.0,1.4,31390000
47,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,1920x1200,14.0,1024.0,1.44,25430000
46.5,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,32,DDR5,1920x1200,14.0,1024.0,1.4,26680000
38,3200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1080,15.6,512.0,1.65,16090000
57,6400,7,1360.0,Intel,5.00,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.48,36990000
57,6400,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,1920x1200,14.0,1024.0,1.09,57370000
46.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.4,33210000
47,5200,7,150.0,Intel,5.40,Integrated,Lenovo,16,DDR5,1920x1080,14.0,512.0,1.37,22980000
57,6400,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.09,54290000
71,3200,5,7530.0,AMD,4.50,Amd,Lenovo,16,DDR4,2560x1600,16.0,1024.0,1.7,23070000
45,5600,Ultra5,125.0,Intel,4.30,Integrated,Lenovo,16,DDR5,1920x1200,14.0,1024.0,1.38,23980000
45,4800,5,7535.0,AMD,4.55,Amd,Lenovo,16,DDR5,1920x1200,16.0,512.0,1.7,21790000
45,5600,Ultra5,125.0,Intel,4.30,Integrated,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,20990000
45,4800,5,7535.0,AMD,4.55,Amd,Lenovo,16,DDR5,1920x1200,16.0,1024.0,1.7,22880000
45,5600,Ultra5,125.0,Intel,4.30,Integrated,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,22880000
57,3200,5,1335.0,Intel,4.60,Intel,Lenovo,8,DDR4,1920x1200,14.0,512.0,1.43,21610000
54,4800,5,1340.0,Intel,4.60,Intel,Dell,16,LPDDR5,2560x1600,14.0,512.0,1.5,19990000
57,3200,5,1335.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1200,14.0,512.0,1.43,22340000
57,3200,5,1335.0,Intel,4.60,Intel,Lenovo,8,DDR4,1920x1200,14.0,512.0,1.43,20340000
99.5,7467,Ultra9,185.0,Intel,5.10,Nvidia,Dell,64,LPDDR5x,3840x2400,16.3,1024.0,2.13,95990000
99.5,7467,Ultra7,155.0,Intel,4.80,Nvidia,Dell,16,LPDDR5x,3840x2400,16.3,512.0,2.13,68990000
99.5,7467,Ultra9,185.0,Intel,5.10,Nvidia,Dell,32,LPDDR5x,3840x2400,16.3,1024.0,2.13,86990000
99.5,7467,Ultra7,155.0,Intel,4.80,Nvidia,Dell,16,LPDDR5x,3840x2400,16.3,512.0,2.13,68990000
99.5,7467,Ultra9,185.0,Intel,5.10,Nvidia,Dell,32,LPDDR5x,3840x2400,16.3,1024.0,2.13,86990000
99.5,7467,Ultra9,185.0,Intel,5.10,Nvidia,Dell,64,LPDDR5x,3840x2400,16.3,1024.0,2.13,95990000
99.5,7467,Ultra7,155.0,Intel,4.80,Nvidia,Dell,16,LPDDR5x,1920x1200,16.3,1024.0,2.13,60990000
69.5,7467,Ultra7,155.0,Intel,4.80,Nvidia,Dell,32,LPDDR5x,3200x2000,14.5,1024.0,1.68,71990000
69.5,7467,Ultra7,155.0,Intel,4.80,Nvidia,Dell,16,LPDDR5x,1920x1200,14.5,512.0,1.68,53990000
69.5,7467,Ultra7,155.0,Intel,4.80,Nvidia,Dell,64,LPDDR5x,3200x2000,14.5,2048.0,1.68,80990000
69.5,7467,Ultra7,155.0,Intel,4.80,Intel,Dell,32,LPDDR5x,3200x2000,14.5,1024.0,1.68,62990000
72,6400,Ultra7,155.0,Intel,4.80,Intel,LG,16,LPDDR5X,1920x1200,14.0,512.0,1.12,41390000
69.5,6400,Ultra7,155.0,Intel,4.80,Intel,Dell,16,LPDDR5x,1920x1200,14.5,512.0,1.68,46990000
77,7467,Ultra7,155.0,Intel,4.80,Intel,LG,16,LPDDR5X,2560x1600,16.0,512.0,1.199,45490000
58,4800,5,1235.0,Intel,4.40,Intel,Acer,16,DDR5,1920x1200,14.0,512.0,,14990000
99.5,7467,Ultra7,155.0,Intel,4.80,Nvidia,Dell,16,LPDDR5x,1920x1200,16.3,1024.0,2.13,60990000
50,3200,5,13500.0,Intel,4.70,Intel,ASUS,16,DDR4,2880x1620,15.6,512.0,1.64,20990000
54,5200,5,120.0,Intel,5.00,Intel,Dell,16,DDR5,1920x1200,14.0,512.0,1.56,23490000
55,7467,Ultra5,125.0,Intel,4.50,Intel,Dell,16,LPDDR5X,1920x1200,13.4,2048.0,1.19,59990000
54,5200,7,150.0,Intel,5.40,Intel,Dell,16,DDR5,1920x1200,14.0,512.0,1.56,25990000
57,7500,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,1920x1200,14.0,512.0,1.08,56990000
54,5200,5,1334.0,Intel,4.60,Intel,Dell,16,DDR5,1920x1200,16.0,512.0,,24490000
75,7467,,125.0,Intel,4.50,Intel,Asus,8,LPDDR5,1920x1200,14.0,512.0,1.28,19990000
57,7500,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.08,53490000
75,7467,Ultra7,155.0,Intel,4.80,Intel,Asus,16,LPDDR5X,1920x1200,14.0,1024.0,1.28,25990000
75,7467,Ultra7,155.0,Intel,4.80,Intel,Asus,16,LPDDR5X,3200x2000,16.0,512.0,1.5,29990000
54,5200,7,150.0,Intel,5.40,Nvidia,Dell,16,DDR5,2560x1600,16.0,1024.0,,32790000
65,6400,Ultra5,125.0,Intel,4.50,Intel,Acer,16,LPDDR5x,2880x1800,14.0,512.0,1.37,23990000
63,7467,Ultra7,155.0,Intel,4.80,Intel,Asus,32,LPDDR5x,2880x1800,13.3,1024.0,,44990000
69.5,7467,Ultra7,155.0,Intel,4.80,Nvidia,Dell,64,LPDDR5X,3200x2000,14.5,1024.0,1.74,78990000
65,6400,Ultra7,155.0,Intel,4.80,Intel,Acer,16,LPDDR5x,2880x1800,14.0,512.0,1.37,26990000
54,5200,5,120.0,Intel,5.00,Intel,Dell,16,DDR5,1920x1200,14.0,1024.0,1.56,24990000
68,6400,Ultra5,125.0,Intel,4.30,Intel,HP,16,LPDDR5,1920x1200,16.0,512.0,1.87,20990000
54,5200,7,150.0,Intel,5.40,Nvidia,Dell,16,DDR5,2240x1400,14.0,1024.0,1.56,29990000
55,7467,Ultra5,125.0,Intel,4.50,Intel,Dell,16,LPDDR5X,1920x1200,13.4,1024.0,1.19,52990000
75,6400,Ultra7,155.0,Intel,4.80,Intel,MSI,32,LPDDR5,2880x1800,13.3,1024.0,,33990000
50,4800,5,120.0,Intel,5.00,Intel,Acer,16,LPDDR5,1920x1080,15.6,512.0,1.78,15990000
50,3200,5,13500.0,Intel,4.7,Intel,Asus,16,DDR4,2880x1800,14.0,512.0,1.45,20990000
42,3200,3,1315.0,Intel,4.50,Intel,Asus,8,DDR4,1920x1080,15.6,256.0,1.69,11990000
41,,5,1335.0,Intel,4.40,Intel,Lenovo,16,,1920x1200,13.3,512.0,1.12,30990000
42,3200,5,1355.0,Intel,4.60,Intel,Asus,16,DDR4,1920x1080,15.6,512.0,1.69,16290000
54,3200,7,1355.0,Intel,5.00,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.62,22990000
63,,7,1355.0,Intel,5.10,Intel,Asus,32,LPDDR5,2880x1800,14.0,1024.0,0.99,55990000
47,4800,7,13620.0,Intel,4.90,Intel,Lenovo,16,LPDDR5,1920x1080,14.0,512.0,1.37,18490000
75,7467,Ultra9,185.0,Intel,5.10,Intel,Asus,32,LPDDR5X,2880x1800,14.0,1024.0,,59990000
63,,7,1355.0,Intel,5.10,Intel,Asus,16,LPDDR5,2880x1800,14.0,1024.0,0.99,49990000
39.3,3200,7,13700.0,Intel,5.00,Intel,MSI,16,DDR4,1920x1080,15.6,1024.0,1.8,22490000
41,2666,5,1334.0,Intel,4.60,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.85,17990000
47,3200,5,1335.0,Intel,4.60,Intel,Lenovo,8,DDR4,1920x1200,16.0,512.0,1.81,19990000
57,7467,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,LPDDR5x,2048x1280,16.0,512.0,1.82,23690000
39.3,3200,7,13700.0,Intel,5.00,Intel,MSI,16,DDR4,1920x1200,14.0,1024.0,1.6,21990000
57,7467,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,1920x1200,14.0,1024.0,1.46,28690000
56,4800,7,13700.0,Intel,5.00,Intel,Acer,32,LPDDR5,2560x1600,14.0,1024.0,1.2,40990000
47,3200,7,1355.0,Intel,5.00,Intel,Lenovo,16,DDR4,1920x1200,14.0,512.0,1.43,25690000
57,3200,7,13700.0,Intel,5.00,Intel,Lenovo,32,DDR4,1920x1200,16.0,1024.0,1.81,29690000
75,7467,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,LPDDR5x,2880x1800,14.0,1024.0,1.32,47990000
51,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.37,26090000
57,3200,7,13700.0,Intel,5.00,Intel,Lenovo,32,DDR4,1920x1200,14.0,1024.0,1.43,30990000
51,3200,5,1335.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,14.0,256.0,1.37,20590000
75,7467,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,2880x1800,13.3,1024.0,1.34,66990000
42,3200,7,1255.0,Intel,4.70,Intel,Asus,16,DDR4,1920x1080,14.0,512.0,1.4,17990000
42,3200,5,1235.0,Intel,4.40,Intel,Asus,16,DDR4,1920x1080,15.6,512.0,1.7,16490000
42,3200,3,1215.0,Intel,4.40,Intel,Asus,8,DDR4,1920x1080,14.0,512.0,1.4,11990000
84,7467,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,16,LPDDR5x,2048x1280,16.0,512.0,1.91,34990000
52.5,,7,1360.0,Intel,5.00,Nvidia,Lenovo,32,LPDDR5x,1920x1200,16.0,512.0,1.7,41340000
75,7467,Ultra5,125.0,Intel,4.50,Intel,Asus,16,LPDDR5X,2880x1800,14.0,1024.0,1.3,26990000
40,4800,3,,Intel,3.80,Intel,Acer,8,LPDDR5,1920x1080,15.6,512.0,1.7,10990000
51,3200,5,1335.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.37,22990000
50,4800,5,13420.0,Intel,4.60,Intel,Acer,16,LPDDR5,1920x1080,15.6,512.0,1.7,17490000
50,4800,7,1355.0,Intel,5.00,Intel,Acer,16,LPDDR5,1920x1080,15.6,1024.0,1.7,20490000
50,4800,7,13620.0,Intel,4.90,Intel,Acer,16,LPDDR5,1920x1080,15.6,512.0,1.7,20990000
76,4800,7,13700.0,Intel,5.00,Nvidia,Acer,32,LPDDR5,2880x1800,14.5,1024.0,1.5,42990000
50,6400,5,1335.0,Intel,4.60,Intel,Acer,8,LPDDR5,1920x1200,14.0,512.0,1.5,15990000
41,3200,5,1334.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.59,19590000
41,3200,5,1335.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,15.6,512.0,1.59,18390000
41,3200,5,1335.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.47,19590000
51,3200,3,1315.0,Intel,4.50,Intel,HP,8,DDR4,1920x1080,15.6,256.0,1.78,15590000
75,7467,Ultra7,155.0,Intel,4.80,Intel,Asus,32,LPDDR5X,2880x1800,14.0,1024.0,,34990000
42,3200,7,1355.0,Intel,5.00,Intel,HP,8,DDR4,1920x1080,13.3,512.0,1.28,26790000
75,7467,Ultra5,125.0,Intel,4.50,Intel,Asus,16,LPDDR5X,2880x1800,14.0,512.0,,28990000
41,,5,1335.0,Intel,4.60,Intel,Dell,16,DDR4,1920x1080,14.0,512.0,1.6,18990000
42,3200,5,1335.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,13.3,512.0,1.28,23590000
51,3200,7,1355.0,Intel,5.00,Intel,HP,8,DDR4,1920x1080,15.6,512.0,1.78,25890000
51,3200,5,1335.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,15.6,512.0,1.78,21590000
66,,7,1255.0,Intel,4.70,Intel,Asus,16,LPDDR5,1920x1080,14.0,1024.0,1.01,33990000
42,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,13.3,512.0,1.28,27490000
47,3200,5,1335.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1200,14.0,512.0,1.53,21590000
42,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,13.3,512.0,1.28,27790000
42,3200,5,1335.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,13.3,512.0,1.28,24390000
84,,5,1340.0,Intel,4.60,Intel,Asus,16,DDR5,3840x2400,16.0,512.0,1.5,27490000
42,3200,5,1335.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,13.3,512.0,1.28,22790000
42,3200,5,1235.0,Intel,4.40,Intel,Asus,8,DDR4,1920x1080,15.6,512.0,1.69,14444000
42,3200,5,1235.0,Intel,4.40,Intel,Asus,8,DDR4,1920x1080,15.6,256.0,1.69,15990000
42,3200,5,1355.0,Intel,4.60,Intel,Asus,8,DDR4,1920x1080,15.6,512.0,1.69,15490000
39.3,5600,5,1355.0,Intel,4.60,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.36,29490000
57,4800,5,1355.0,Intel,4.60,Intel,Lenovo,16,LPDDR5x,2240x1400,14.0,512.0,1.25,36700000
66,4266,5,1230.0,Intel,4.40,Intel,HP,8,LPDDR4x,2880x1800,13.3,512.0,,28790000
60,5200,5,13500.0,Intel,4.70,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,24520000
46.5,3200,5,1340.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1080,15.6,512.0,1.77,23890000
38,3200,3,1315.0,Intel,4.50,Intel,Lenovo,8,DDR4,1920x1080,14.0,512.0,1.43,13690000
41,4800,7,1355.0,Intel,5.00,Intel,Lenovo,16,LPDDR5,1920x1200,13.3,512.0,1.12,38890000
45,5200,5,1335.0,Intel,4.60,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,20910000
56.6,4800,5,12450.0,Intel,4.40,Intel,Lenovo,16,LPDDR5,1920x1200,14.0,512.0,1.46,16990000
50,4800,9,13900.0,Intel,5.40,Intel,Acer,16,LPDDR5,1920x1080,15.6,512.0,1.7,23990000
65,,7,13700.0,Intel,5.00,Intel,Acer,16,LPDDR5,2880x1800,14.0,512.0,1.2,28690000
50,,3,1305.0,Intel,4.50,Intel,Acer,8,LPDDR5,1920x1080,15.6,512.0,1.7,12990000
42,3200,5,1335.0,Intel,4.60,Intel,Dell,8,DDR4,1920x1080,15.6,256.0,,19990000
57,4800,5,1335.0,Intel,4.60,Intel,Lenovo,16,LPDDR5x,2240x1400,14.0,512.0,1.25,30490000
54,3200,5,1335.0,Intel,4.60,Nvidia,Dell,16,DDR4,1920x1080,15.6,512.0,1.62,21490000
47,4800,5,12450.0,Intel,4.40,Intel,Lenovo,16,LPDDR5,1920x1080,14.0,1024.0,1.37,16990000
57,6400,7,12700.0,Intel,4.70,Intel,Acer,16,LPDDR5,2880x1800,14.0,1024.0,1.4,34790000
38,3200,7,1355.0,Intel,5.00,Intel,Lenovo,8,DDR4,1920x1080,14.0,512.0,1.43,18490000
38,3200,3,1315.0,Intel,4.50,Intel,Lenovo,8,DDR4,1920x1080,15.6,256.0,1.65,11930000
38,3200,7,1355.0,Intel,5.00,Intel,Lenovo,8,DDR4,1920x1080,14.0,512.0,1.43,19710000
38,3200,3,1315.0,Intel,4.50,Intel,Lenovo,8,DDR4,1920x1080,15.6,256.0,1.65,13130000
50,,5,7530.0,AMD,4.50,Amd,Acer,16,LPDDR4X,1920x1080,14.0,1024.0,1.2,19490000
54,4266,5,7530.0,AMD,4.50,Amd,Dell,8,LPDDR4x,1920x1200,16.0,512.0,,17990000
41,2666,5,1335.0,Intel,4.60,Nvidia,Dell,8,DDR4,1920x1080,14.0,512.0,1.6,20990000
54,4800,5,1335.0,Intel,4.60,Intel,Dell,8,LPDDR5,1920x1080,16.0,512.0,,22990000
50,5200,7,1355.0,Intel,5.00,Intel,Acer,16,LPDDR5,1920x1200,14.0,512.0,1.6,24590000
50,4800,7,1355.0,Intel,5.00,Intel,Acer,16,LPDDR5,1920x1080,15.6,512.0,1.7,19990000
65,5200,7,13700.0,Intel,5.00,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.35,26890000
50,3200,5,13420.0,Intel,4.60,Nvidia,Acer,8,DDR4,1920x1080,15.6,512.0,1.7,20490000
50,5200,5,1335.0,Intel,4.60,Intel,Acer,16,LPDDR5,1920x1200,14.0,512.0,1.6,20990000
39.3,5200,7,1360.0,Intel,5.00,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.4,34990000
,5200,3,,Intel,3.80,Intel,Acer,8,LPDDR5,1920x1080,14.0,512.0,,10790000
50,6400,7,1355.0,Intel,5.00,Intel,Acer,16,LPDDR5,1920x1200,14.0,512.0,1.5,19990000
41,3200,5,1335.0,Intel,4.60,Intel,Dell,8,DDR4,1920x1080,15.6,256.0,1.66,17990000
54,4800,5,1340.0,Intel,4.60,Nvidia,Dell,16,LPDDR5,2560x1600,14.0,512.0,1.5,29290000
41,3200,3,,Intel,3.80,Intel,HP,8,DDR4,1920x1080,14.0,256.0,1.47,11590000
38,3200,3,1315.0,Intel,4.50,Intel,Lenovo,8,DDR4,1920x1080,15.6,512.0,1.65,13650000
41,3200,5,1335.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.59,19590000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.59,22490000
41,3200,7,1355.0,Intel,5.00,Intel,HP,8,DDR4,1920x1080,15.6,512.0,1.59,21690000
38,3200,3,1315.0,Intel,4.50,Intel,Lenovo,8,DDR4,1920x1080,15.6,512.0,1.65,12430000
41,,3,,Intel,3.80,Intel,HP,4,DDR4,1920x1080,14.0,256.0,1.47,10990000
66,4266,7,1355.0,Intel,5.00,Intel,HP,16,LPDDR4x,3000x2000,13.5,1024.0,1.36,49990000
41,3200,7,1355.0,Intel,5.00,Nvidia,HP,16,DDR4,1920x1080,15.6,512.0,1.74,26590000
42,3200,3,1215.0,Intel,4.40,Intel,Asus,8,DDR4,1920x1080,15.6,512.0,1.7,12990000
51,3200,5,1340.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,14.0,512.0,1.37,22690000
41,3200,5,1335.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.74,21290000
41,3200,3,1215.0,Intel,4.40,Intel,HP,8,DDR4,1920x1080,14.0,512.0,1.46,13390000
41,3200,5,1335.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.4,19590000
,4800,5,1335.0,Intel,4.60,Intel,Dell,8,LPDDR5,1920x1200,14.0,512.0,1.6,24990000
38,,7,1355.0,Intel,5.00,Intel,Lenovo,16,DDR4,1920x1080,14.0,512.0,1.43,19790000
47,3200,5,7530.0,AMD,4.50,Amd,Lenovo,8,DDR4,1920x1080,14.0,512.0,1.17,16990000
47,3200,7,1355.0,Intel,5.00,Intel,Lenovo,16,DDR4,1920x1200,14.0,512.0,1.43,25390000
51,3200,3,1315.0,Intel,4.50,Intel,HP,8,DDR4,1920x1080,14.0,256.0,1.38,16990000
41,3200,3,1215.0,Intel,4.40,Intel,HP,8,DDR4,1920x1080,14.0,256.0,1.46,12590000
51,3200,5,1335.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,14.0,512.0,1.37,21490000
51,3200,5,1335.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.37,21890000
51,3200,5,1335.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,14.0,256.0,,20590000
51,3200,7,1360.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.37,27490000
51,6400,7,1355.0,Intel,5.00,Intel,HP,16,LPDDR5,1920x1200,14.0,1024.0,1.21,48990000
47,3200,7,1355.0,Intel,5.00,Intel,Lenovo,16,DDR4,1920x1200,16.0,512.0,1.97,25690000
41,3200,5,1335.0,Intel,4.60,Nvidia,HP,16,DDR4,1920x1080,15.6,512.0,1.74,22290000
41,3200,3,1315.0,Intel,4.50,Intel,HP,8,DDR4,1920x1080,15.6,256.0,1.74,15290000
41,3200,3,1315.0,Intel,4.50,Intel,HP,8,DDR4,1920x1080,15.6,256.0,1.74,15290000
41,3200,5,1335.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,15.6,512.0,1.74,19990000
90,,7,1360.0,Intel,5.00,Nvidia,LG,16,LPDDR5,2560x1600,16.0,512.0,1.299,39990000
41,2666,3,1305.0,Intel,4.50,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.85,13890000
42,5500,5,7520.0,AMD,4.30,Amd,Asus,16,LPDDR5,1920x1080,14.0,512.0,1.38,14490000
42,,5,7520.0,AMD,4.30,Amd,Asus,16,LPDDR5,1920x1080,15.6,512.0,1.8,14490000
41,2666,5,1335.0,Intel,4.60,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.85,17990000
41,2666,5,1335.0,Intel,4.60,Intel,Dell,8,DDR4,1920x1080,14.0,512.0,1.6,17690000
43,3200,7,1355.0,Intel,5.0,Intel,HP,16,DDR4,1920x1080,14.0,1024.0,1.52,26990000
3,4800,3,1315.0,Intel,4.50,Intel,Acer,8,DDR5,1920x1200,14.0,512.0,1.5,12990000
40,5200,3,,Intel,3.80,Intel,Acer,8,DDR5,1920x1080,14.0,512.0,1.4,11790000
40,5200,5,7520.0,AMD,4.30,Amd,Acer,8,DDR5,1920x1080,14.0,512.0,1.4,13290000
54,4800,7,1360.0,Intel,5.00,Nvidia,Dell,16,LPDDR5,1920x1200,16.0,512.0,1.85,31990000
56,4267,5,1240.0,Intel,4.40,Intel,Acer,16,LPDDR4X,2560x1440,14.0,512.0,1.25,24790000
50,,5,1235.0,Intel,4.40,Intel,Acer,8,DDR4,1920x1080,14.0,512.0,1.4,19990000
45,3200,7,1255.0,Intel,4.70,Intel,Lenovo,8,DDR4,1920x1080,14.0,256.0,1.64,23790000
,3200,7,1255.0,Intel,4.70,Intel,MSI,8,DDR4,1920x1080,14.0,512.0,,20490000
40,,5,1235.0,Intel,4.40,Intel,Acer,8,DDR4,1920x1080,15.6,512.0,1.7,17990000
43,3200,5,1235.0,Intel,4.40,Intel,HP,8,DDR4,1920x1080,14.0,256.0,1.41,18690000
43,3200,5,1235.0,Intel,4.40,Intel,HP,8,DDR4,1920x1080,14.0,256.0,1.41,18690000
43,3200,5,1235.0,Intel,4.40,Intel,HP,8,DDR4,1920x1080,14.0,512.0,1.41,19690000
42,3200,5,1335.0,Intel,4.60,Intel,Asus,16,DDR4,1920x1080,15.6,512.0,1.7,18490000
,4800,7,13700.0,Intel,5.00,Nvidia,MSI,16,LPDDR5,2560x1600,16.0,1024.0,,47990000
75,4800,7,1360.0,Intel,5.00,Intel,MSI,16,LPDDR5,1920x1200,13.3,1024.0,,33990000
50,3200,5,13500.0,Intel,4.7,Intel,Asus,16,DDR4,2880x1800,14.0,512.0,1.45,19790000
42,3200,3,1315.0,Intel,4.50,Intel,Asus,8,DDR4,1920x1080,15.6,512.0,1.7,13690000
63,3200,9,13900.0,Intel,5.40,Intel,ASUS,16,DDR4,2880x1800,14.0,512.0,1.4,26990000
80,,5,1340.0,Intel,4.60,Intel,LG,16,LPDDR5,3200x2000,16.0,512.0,1.25,43990000
47,3200,5,1340.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1200,16.0,512.0,1.97,23490000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.74,25290000
47,3200,5,1335.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1200,14.0,512.0,1.53,22190000
