Battery (WHrs),Bus (MHz),CPU Brand Modifier,CPU Generation,CPU Manufacturer,CPU Speed (GHz),GPU Manufacturer,Manufacturer,RAM (GB),RAM Type,Screen Resolution,Screen Size (Inches),Storage (GB),Weight (kg),Price
41,3200,5,1335.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.74,21290000
52.5,5200,5,1335.0,Intel,4.60,Intel,Lenovo,16,DDR5,1920x1200,16.0,512.0,,30060000
41,3200,7,1355.0,Intel,5.00,Intel,HP,8,DDR4,1920x1080,15.6,512.0,1.74,23990000
41,2666,5,1335.0,Intel,4.60,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.66,18990000
52.5,,7,1360.0,Intel,5.00,Nvidia,Lenovo,16,LPDDR5x,1920x1200,16.0,512.0,1.7,40280000
46.5,3200,7,1360.0,Intel,5.00,Intel,Lenovo,16,DDR4,1920x1080,14.0,512.0,1.4,28500000
52.5,,5,1340.0,Intel,4.60,Nvidia,Lenovo,16,LPDDR5x,2240x1400,14.0,512.0,1.34,37180000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.4,21990000
47,4800,5,12450.0,Intel,4.40,Intel,Lenovo,16,LPDDR5,1920x1080,14.0,512.0,1.37,15990000
57,4800,7,1355.0,Intel,5.00,Intel,Lenovo,16,LPDDR5x,2240x1400,14.0,512.0,1.25,34762000
41,3200,7,1355.0,Intel,5.00,Intel,HP,8,DDR4,1920x1080,14.0,512.0,1.47,20990000
41,3200,3,1315.0,Intel,4.50,Intel,HP,8,DDR4,1920x1080,14.0,256.0,1.47,12990000
41,3200,5,1335.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,14.0,256.0,1.47,17990000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.74,25290000
54,4800,7,1360.0,Intel,5.00,Nvidia,Dell,16,LPDDR5,1920x1200,16.0,512.0,,33390000
50,4800,5,1335.0,Intel,4.60,Intel,Acer,16,LPDDR5,1920x1080,15.6,512.0,1.7,16990000
50,,7,12650.0,Intel,4.70,Intel,Acer,16,DDR4,1920x1080,15.6,512.0,2.1,20490000
50,6400,5,1335.0,Intel,4.60,Intel,Acer,16,LPDDR5,1920x1200,14.0,512.0,1.5,16990000
41,2666,3,1305.0,Intel,4.50,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.66,15990000
54,3200,7,1355.0,Intel,5.00,Nvidia,Dell,8,DDR4,1920x1080,15.6,512.0,1.66,24490000
53,3200,5,12450.0,Intel,4.40,Intel,Acer,16,DDR4,1920x1080,15.6,512.0,2.1,16990000
,4800,7,1355.0,Intel,5.00,Intel,Dell,16,LPDDR5,1920x1080,13.3,512.0,,37990000
42,3200,5,1335.0,Intel,4.60,Intel,Asus,8,DDR4,1920x1080,14.0,512.0,1.49,15490000
42,3200,7,1355.0,Intel,5.00,Intel,Asus,8,DDR4,1920x1080,14.0,512.0,1.49,18490000
42,3200,7,1355.0,Intel,5.00,Intel,Asus,16,DDR4,1920x1080,14.0,512.0,1.49,19290000
55,,7,1355.0,Intel,5.00,Intel,HP,16,LPDDR5,1920x1080,15.6,512.0,1.91,24990000
64,4800,7,13620.0,Intel,4.90,Intel,Dell,16,LPDDR5,2560x1600,14.0,1024.0,1.66,23990000
60,6000,7,1365.0,Intel,5.20,Intel,Dell,16,LPDDR5,2560x1600,14.0,512.0,1.53,66100000
51,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.41,27490000
51,6400,7,1355.0,Intel,5.00,Intel,HP,16,LPDDR5,1920x1200,14.0,512.0,1.21,47990000
57,4800,7,1355.0,Intel,5.00,Intel,Lenovo,32,LPDDR5x,1920x1200,14.0,512.0,1.48,49990000
51,3200,5,1335.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.41,24590000
54,3200,7,1355.0,Intel,5.00,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.62,22990000
51,3200,5,1335.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,14.0,512.0,1.37,21490000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.47,21990000
41,3200,7,1355.0,Intel,5.00,Intel,HP,8,DDR4,1920x1080,14.0,512.0,1.47,20990000
52.5,,7,1360.0,Intel,5.00,Nvidia,Lenovo,32,LPDDR5x,1920x1200,16.0,1024.0,1.7,42770000
57,3200,5,13500.0,Intel,4.70,Intel,Lenovo,16,DDR4,1920x1200,16.0,512.0,1.81,21990000
90,5600,7,13700.0,Intel,5.00,Nvidia,Lenovo,32,DDR5,1920x1200,16.0,1024.0,2.2,55670000
41,3200,5,1335.0,Intel,4.60,Intel,HP,8,DDR4,1920x1080,14.0,512.0,1.47,18790000
39.3,5600,7,1355.0,Intel,5.00,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.32,34990000
51,3200,3,1315.0,Intel,4.50,Intel,HP,8,DDR4,1920x1080,15.6,512.0,1.78,16390000
57,7467,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.48,22690000
57,7467,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,2048x1280,16.0,512.0,1.82,27690000
75,7467,Ultra9,185.0,Intel,5.10,Intel,Asus,32,LPDDR5X,2880x1800,14.0,1024.0,,36990000
57,7467,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,1920x1200,14.0,512.0,1.48,27690000
65,7467,Ultra7,155.0,Intel,4.80,Intel,Lenovo,32,LPDDR5x,1920x1200,14.0,512.0,1.4,30990000
41,3200,5,1335.0,Intel,4.60,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.66,19990000
99,6400,Ultra9,185.0,Intel,5.10,Nvidia,MSI,32,LPDDR5,3840x2400,16.0,1024.0,1.6,55990000
71,3200,5,7530.0,AMD,4.50,Amd,Lenovo,16,DDR4,2560x1600,16.0,512.0,1.7,21970000
50,3200,7,7730.0,AMD,4.50,Amd,ASUS,16,DDR4,1920x1080,15.6,512.0,1.6,18990000
41,3200,3,,Intel,3.80,Intel,HP,16,DDR4,1366x768,14.0,512.0,1.47,11690000
51,3200,5,1340.0,Intel,4.60,Intel,HP,16,DDR4,1920x1080,15.6,512.0,1.78,23590000
45,3200,7,1255.0,Intel,4.70,Intel,Lenovo,16,DDR4,1920x1080,14.0,512.0,1.64,20990000
68,6400,7,1355.0,Intel,5.00,Intel,HP,16,LPDDR5,1920x1280,13.5,1024.0,0.99,50990000
41,3200,3,1215.0,Intel,4.40,Intel,HP,8,DDR4,1920x1080,15.6,512.0,1.7,13390000
39.3,5200,7,1360.0,Intel,5.00,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.36,37990000
,4800,5,1340.0,Intel,4.60,Intel,Dell,16,LPDDR5,1920x1200,14.0,512.0,1.5,21990000
71,7467,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.49,30990000
57,5200,5,120.0,Intel,5.00,Integrated,Lenovo,32,LPDDR5x,1920x1200,15.3,512.0,1.79,22690000
59,6400,Ultra7,155.0,Intel,4.80,Intel,HP,16,LPDDR5,1920x1200,14.0,1024.0,1.4,26990000
45,3200,5,7530.0,AMD,4.50,Amd,Lenovo,16,DDR4,1920x1200,14.0,512.0,1.38,16990000
54,5200,5,120.0,Intel,5.00,Nvidia,Dell,16,DDR5,2240x1400,14.0,512.0,1.56,27190000
54,5200,5,120.0,Intel,5.00,Intel,Dell,16,DDR5,1920x1200,16.0,1024.0,,24790000
60,5200,5,13500.0,Intel,4.70,Integrated,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,23250000
,,5,1334.0,Intel,4.60,Intel,Dell,8,DDR5,1920x1200,14.0,512.0,1.67,20490000
55,7467,Ultra7,155.0,Intel,4.80,Intel,Dell,32,LPDDR5X,1920x1200,13.4,512.0,1.19,38990000
36.7,3200,5,1155.0,Intel,4.50,Intel,Acer,8,DDR4,1920x1080,15.6,512.0,,12990000
54,5200,7,150.0,Intel,5.40,Intel,Dell,16,DDR5,1920x1200,16.0,1024.0,,27690000
38,5500,5,7520.0,AMD,4.30,Amd,Lenovo,16,LPDDR5,1920x1080,15.6,512.0,1.65,14350000
71,3200,7,7730.0,AMD,4.50,Amd,Lenovo,16,DDR4,2560x1600,16.0,512.0,1.7,22990000
63,5600,Ultra7,155.0,Intel,4.80,Intel,Asus,16,DDR5,1920x1200,14.0,512.0,1.4,31990000
73,7467,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,32,LPDDR5x,2880x1800,14.5,1024.0,1.59,47290000
55,7467,Ultra7,155.0,Intel,4.80,Intel,Dell,16,LPDDR5X,1920x1200,13.4,512.0,1.19,35990000
50,,7,5700.0,AMD,4.30,Amd,Acer,16,LPDDR4X,1920x1200,14.0,512.0,1.4,13990000
57,7467,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,1024.0,1.48,23690000
47,3200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1200,14.0,512.0,1.43,19670000
47,3200,5,13420.0,Intel,4.60,Intel,Lenovo,8,DDR4,1920x1200,14.0,512.0,1.43,20340000
47,3200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1200,14.0,512.0,1.43,21320000
47,3200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1200,14.0,1024.0,1.43,22160000
47,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.44,23070000
47,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.44,24340000
47,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,1920x1200,14.0,1024.0,1.44,24160000
52.5,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,1920x1200,16.0,1024.0,,30500000
47,3200,5,13420.0,Intel,4.60,Intel,Lenovo,8,DDR4,1920x1200,14.0,512.0,1.43,19050000
52.5,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,1920x1200,16.0,512.0,,29410000
52.5,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,32,DDR5,1920x1200,16.0,1024.0,,32300000
52.5,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,16.0,512.0,,29050000
52.5,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,16.0,512.0,,33930000
52.5,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,32,DDR5,1920x1200,16.0,1024.0,,31930000
57,6400,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.35,58040000
52.5,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,16.0,1024.0,,30140000
41,4400,5,1334.0,Intel,4.60,Intel,Dell,16,DDR5,1920x1200,14.0,512.0,1.69,21490000
77,7467,Ultra7,155.0,Intel,4.80,Intel,LG,16,LPDDR5X,2560x1600,17.0,1024.0,1.35,49290000
79.6,7467,Ultra7,155.0,Intel,4.80,Intel,LG,16,LPDDR5X,2880x1800,16.0,512.0,1.199,51490000
55,7467,Ultra7,155.0,Intel,4.80,Intel,Dell,16,LPDDR5X,2560x1600,13.4,1024.0,1.243,63990000
85,7500,7,8845.0,AMD,5.10,Amd,Lenovo,16,LPDDR5,2560x1600,16.0,1024.0,1.9,23990000
60,7467,Ultra7,155.0,Intel,4.80,Intel,LG,16,LPDDR5X,1920x1080,15.6,512.0,0.99,46500000
54,5200,7,150.0,Intel,5.40,Intel,Dell,16,DDR5,1920x1200,14.0,1024.0,1.56,26490000
57,6400,7,8845.0,AMD,5.10,Amd,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.48,23190000
71,5200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR5,1920x1200,16.0,512.0,1.7,19520000
47,3200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1200,16.0,512.0,1.81,19860000
85,7500,7,8845.0,AMD,5.10,Amd,Lenovo,32,LPDDR5,2560x1600,16.0,1024.0,1.9,25990000
73,7467,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,32,LPDDR5x,2880x1800,14.5,1024.0,1.59,47290000
76,6400,Ultra7,155.0,Intel,4.80,Nvidia,Acer,32,LPDDR5X,2880x1800,14.5,1024.0,1.5,53990000
50,4800,3,,Intel,3.80,Intel,Acer,8,LPDDR5,1920x1080,15.6,512.0,1.75,10990000
57,6400,Ultra5,125.0,Intel,4.50,Intel,Lenovo,32,LPDDR5x,1920x1200,14.0,1024.0,1.09,52990000
54.7,6400,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,LPDDR5x,1920x1200,13.3,512.0,1.17,31990000
76,6400,Ultra7,155.0,Intel,4.80,Nvidia,Acer,32,LPDDR5X,2880x1800,14.5,1024.0,1.5,47490000
76,6400,Ultra7,155.0,Intel,4.80,Nvidia,Acer,32,LPDDR5X,2880x1800,14.5,1024.0,1.5,44990000
42,3200,5,1335.0,Intel,4.60,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,,21290000
42,3200,7,1355.0,Intel,5.00,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,,26390000
38,3200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1080,14.0,512.0,1.43,14990000
52.5,7500,7,1360.0,Intel,5.00,Nvidia,Lenovo,32,LPDDR5x,2240x1400,14.0,512.0,1.34,42440000
52.5,,5,1340.0,Intel,4.60,Nvidia,Lenovo,16,LPDDR5x,1920x1200,16.0,512.0,1.7,36120000
90,5600,7,13700.0,Intel,5.00,Nvidia,Lenovo,32,DDR5,3840x2400,16.0,1024.0,2.2,68720000
52.5,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.36,31990000
47,5200,3,100.0,Intel,4.70,Intel,Lenovo,8,DDR5,1920x1080,15.6,512.0,1.61,15050000
86,4800,5,13420.0,Intel,4.60,Intel,Dell,16,DDR5,2560x1600,16.0,1024.0,2.06,21990000
41,,5,1235.0,Intel,4.40,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.85,17990000
47,5200,3,100.0,Intel,4.70,Intel,Lenovo,16,DDR5,1920x1080,15.6,512.0,1.61,15910000
54,5200,7,150.0,Intel,5.40,Intel,Dell,16,DDR5,1920x1200,14.0,1024.0,1.71,22990000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,1024.0,1.7,21490000
71,5200,7,1355.0,Intel,5.00,Intel,Lenovo,16,DDR5,1920x1200,16.0,512.0,1.7,24990000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,1024.0,1.7,20990000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,1024.0,1.7,21490000
41,3200,7,1355.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,15.6,1024.0,1.7,20990000
85,7500,7,8845.0,AMD,5.10,Amd,Lenovo,32,LPDDR5x,2560x1600,14.5,1024.0,1.5,25590000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,32,DDR5,3072x1920,14.5,1024.0,1.61,50990000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,32,DDR5,3072x1920,14.5,512.0,1.61,49990000
75,7467,Ultra7,155.0,Intel,4.80,Intel,Asus,16,LPDDR5X,2880x1800,14.0,512.0,1.3,29990000
68,7467,Ultra7,155.0,Intel,4.80,Intel,HP,16,LPDDR5x,2880x1800,14.0,1024.0,1.4,36990000
43,3200,7,150.0,Intel,5.40,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.51,27990000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,32,DDR5,1920x1200,16.0,1024.0,1.82,46920000
68,7467,Ultra7,155.0,Intel,4.80,Intel,HP,32,LPDDR5x,2880x1800,14.0,1024.0,1.36,56990000
52.5,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.36,30990000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,16,DDR5,1920x1200,16.0,512.0,1.82,43820000
75,5600,Ultra5,125.0,Intel,4.50,Nvidia,Lenovo,32,DDR5,1920x1200,16.0,1024.0,1.82,46730000
75,5600,Ultra5,125.0,Intel,4.50,Nvidia,Lenovo,16,DDR5,1920x1200,16.0,512.0,1.82,43640000
75,5600,Ultra5,125.0,Intel,4.50,Nvidia,Lenovo,32,DDR5,1920x1200,16.0,1024.0,1.82,40690000
75,5600,Ultra5,125.0,Intel,4.50,Nvidia,Lenovo,32,DDR5,1920x1200,16.0,512.0,1.82,40390000
56,5600,Ultra5,125.0,Intel,4.30,Intel,HP,8,DDR5,1920x1200,14.0,512.0,1.39,23990000
43,3200,5,120.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.51,24990000
56,5600,Ultra5,125.0,Intel,4.50,Intel,HP,16,DDR5,1920x1200,14.0,512.0,1.39,27990000
54,5200,5,120.0,Intel,5.00,Intel,Dell,16,DDR5,1920x1200,14.0,1024.0,1.74,30890000
75,5600,Ultra5,125.0,Intel,4.50,Nvidia,Lenovo,16,DDR5,1920x1200,16.0,512.0,1.82,37690000
50,3200,7,5700.0,AMD,4.30,Amd,Acer,16,DDR4,1920x1080,15.6,512.0,1.7,13990000
43,3200,5,120.0,Intel,5.00,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.51,24800000
42,5600,5,1335.0,Intel,4.60,Intel,Dell,8,DDR5,1920x1080,14.0,512.0,,19990000
66,4266,7,1250.0,Intel,4.70,Intel,HP,16,LDDR4,2880x1800,13.3,512.0,1.33,32990000
73,7500,AI9,,AMD,5.00,Amd,Lenovo,32,LPDDR5x,2880x1800,14.5,1024.0,1.54,41990000
57,7467,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.46,26890000
52.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.36,34490000
54,5200,7,150.0,Intel,5.40,Intel,Dell,16,DDR5,1920x1200,14.0,1024.0,1.74,36990000
52.5,7500,7,1360.0,Intel,5.00,Nvidia,Lenovo,32,LPDDR5x,1920x1200,16.0,1024.0,1.7,47390000
43,3200,7,150.0,Intel,5.40,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.51,28300000
57,5600,Ultra9,185.0,Intel,5.10,Nvidia,Lenovo,32,DDR5,1920x1200,16.0,512.0,1.61,55990000
56,5600,Ultra5,125.0,Intel,4.50,Intel,HP,16,DDR5,1920x1200,16.0,512.0,1.74,25990000
54.7,6400,Ultra5,125.0,Intel,4.50,Intel,Lenovo,32,LPDDR5x,1920x1200,13.3,512.0,1.17,34200000
58,,5,1334.0,Intel,4.60,Intel,Acer,16,DDR5,1920x1200,14.0,512.0,,15990000
68,7467,Ultra7,155.0,Intel,4.80,Intel,HP,32,LPDDR5x,2880x1800,14.0,2048.0,1.4,45990000
54,6400,Ultra5,135.0,Intel,4.40,Intel,Dell,16,LPDDR5,1920x1200,13.3,512.0,1.15,38490000
42,5600,Ultra5,125.0,Intel,4.30,Intel,Dell,16,DDR5,1920x1080,14.0,512.0,1.4,26990000
54,6400,Ultra7,,Intel,4.90,Intel,Dell,16,LPDDR5x,1920x1080,13.3,512.0,1.35,32790000
63,,5,13500.0,Intel,4.70,Intel,ASUS,16,DDR5,1920x1080,15.6,512.0,1.65,16790000
63,,7,13700.0,Intel,5.00,Intel,ASUS,16,DDR5,1920x1080,15.6,512.0,1.65,20390000
54,3200,7,1355.0,Intel,5.00,Intel,Dell,16,DDR4,1920x1080,15.6,1024.0,1.65,25990000
55,7467,Ultra5,125.0,Intel,4.50,Intel,Dell,16,LPDDR5X,2560x1600,13.4,2048.0,1.19,56990000
47,5200,7,150.0,Intel,5.40,Integrated,Lenovo,16,DDR5,1920x1080,14.0,512.0,1.37,22490000
57,6400,Ultra7,165.0,Intel,4.90,Intel,Lenovo,64,LPDDR5x,2880x1800,14.0,1024.0,1.09,65390000
47,5200,5,120.0,Intel,5.00,Integrated,Lenovo,16,DDR5,1920x1080,14.0,256.0,1.37,18490000
47,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,16.0,1024.0,1.81,24890000
58,4800,Ultra7,155.0,Intel,4.80,Intel,Acer,16,DDR5X,1920x1200,14.0,512.0,1.27,22990000
47,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,DDR5,1920x1200,16.0,512.0,1.81,23790000
41,,5,1235.0,Intel,4.40,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.9,15590000
47,5600,Ultra5,125.0,Intel,4.30,Intel,Lenovo,32,DDR5,1920x1200,16.0,1024.0,1.81,26590000
41,2666,3,1215.0,Intel,4.40,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.65,12990000
47,3200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1200,16.0,512.0,1.81,21990000
41,2666,5,1235.0,Intel,4.40,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.9,16190000
41,,5,1235.0,Intel,4.40,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.9,16990000
72,6400,Ultra5,125.0,Intel,4.50,Intel,LG,16,LPDDR5X,1920x1200,14.0,512.0,1.12,36290000
38,3200,5,1235.0,Intel,4.40,Intel,Lenovo,8,DDR4,1920x1080,14.0,256.0,1.43,13990000
47,3200,7,7730.0,AMD,4.50,Amd,Lenovo,16,DDR4,1920x1080,15.6,512.0,1.62,16390000
54,5200,5,120.0,Intel,5.00,Intel,Dell,8,DDR5,1920x1200,14.0,512.0,1.71,18990000
75,7467,Ultra5,125.0,Intel,4.50,Intel,ASUS,16,LPDDR5X,2880x1800,14.0,512.0,,28990000
73,6400,9,8945.0,AMD,5.20,Nvidia,Asus,16,LPDDR5X,2880x1800,14.0,1024.0,1.5,45990000
73,6400,9,8945.0,AMD,5.20,Nvidia,Asus,32,LPDDR5X,2880x1800,14.0,1024.0,1.5,50990000
64,4800,9,13900.0,Intel,5.40,Nvidia,Dell,16,DDR5,1920x1080,15.6,512.0,1.79,60990000
80,4800,7,13620.0,Intel,4.90,Nvidia,Dell,16,LPDDR5,2560x1600,14.0,512.0,1.91,36990000
50,3200,5,12500.0,Intel,4.50,Nvidia,ASUS,16,DDR4,1920x1200,16.0,512.0,,20990000
73,6400,9,8945.0,AMD,5.20,Nvidia,Asus,32,LPDDR5X,2880x1800,14.0,1024.0,1.5,51990000
60,4800,5,7235.0,AMD,4.20,Nvidia,Lenovo,12,DDR5,1920x1080,15.6,512.0,,19990000
60,4800,7,7435.0,AMD,4.50,Nvidia,Lenovo,16,DDR5,1920x1080,15.6,512.0,,28990000
99.99,5600,9,14900.0,Intel,5.80,Nvidia,Lenovo,32,DDR5,3200x2000,16.0,1024.0,2.24,66990000
90,4800,7,13650.0,Intel,4.90,Nvidia,Asus,16,DDR5,1920x1200,16.0,1024.0,2.5,40990000
90,4800,7,13650.0,Intel,4.90,Nvidia,Asus,16,DDR5,1920x1200,16.0,1024.0,2.5,38990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Asus,32,DDR5,2560x1600,16.0,1024.0,2.5,56990000
90,4800,7,13650.0,Intel,4.90,Nvidia,Asus,16,DDR5,2560x1600,18.0,1024.0,3.3,42990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Asus,32,DDR5,2560x1600,18.0,1024.0,3.0,58990000
60,4800,5,12450.0,Intel,4.40,Nvidia,Lenovo,12,DDR5,1920x1080,15.6,512.0,,18990000
,3200,7,12700.0,Intel,4.70,Nvidia,Gigabyte,16,DDR4,1920x1080,15.6,512.0,2.3,33990000
90,5600,9,14900.0,Intel,5.80,Nvidia,MSI,32,DDR5,2560x1600,17.0,1024.0,,51990000
65,5600,7,14650.0,Intel,5.20,Nvidia,MSI,32,DDR5,1920x1200,16.0,1024.0,2.3,37990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Asus,32,DDR5,2560x1600,18.0,1024.0,3.0,51990000
99,5600,7,14650.0,Intel,5.20,Nvidia,Gigabyte,16,DDR5,2560x1600,16.0,1024.0,2.3,46990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Acer,32,DDR5,2560x1600,16.0,2048.0,2.7,67990000
