Battery (WHrs),Bus (MHz),CPU Brand Modifier,CPU Generation,CPU Manufacturer,CPU Speed (GHz),GPU Manufacturer,Manufacturer,RAM (GB),RAM Type,Screen Resolution,Screen Size (Inches),Storage (GB),Weight (kg),Price
48,5600,7,7435.0,AMD,4.50,Nvidia,Asus,16,DDR5,1920x1080,15.6,512.0,2.08,23490000
60,4800,7,7435.0,AMD,4.50,Nvidia,Lenovo,16,DDR5,1920x1080,15.6,512.0,,24990000
60,4800,5,12450.0,Intel,4.40,Nvidia,Lenovo,12,DDR5,1920x1080,15.6,512.0,,20990000
80,5200,9,7945.0,AMD,5.40,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,1024.0,2.55,38990000
70,3200,5,12450.0,Intel,4.70,Nvidia,HP,8,DDR4,1920x1080,15.6,512.0,2.29,18990000
97,,9,14900.0,Intel,5.80,Nvidia,Dell,32,DDR5,2560x1600,18.0,1024.0,4.23,79990000
90,3200,7,13620.0,Intel,4.90,Nvidia,Asus,16,DDR4,1920x1200,16.0,512.0,2.0,40990000
99.99,5600,9,14900.0,Intel,5.80,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,1024.0,2.62,66990000
59,,5,7535.0,AMD,4.55,Nvidia,Acer,8,DDR5,1920x1080,15.6,512.0,2.1,22990000
80,5600,7,8845.0,AMD,5.10,Nvidia,Lenovo,32,DDR5,2560x1600,16.0,1024.0,,44990000
57,5600,7,8845.0,AMD,5.10,Nvidia,Acer,16,DDR5,1920x1200,16.0,512.0,2.5,28790000
57,5600,5,8645.0,AMD,5.00,Nvidia,Acer,16,DDR5,1920x1200,16.0,512.0,2.5,27490000
70,3200,5,12500.0,Intel,4.50,Nvidia,ASUS,16,DDR4,1920x1200,16.0,512.0,,28490000
48,5600,7,7435.0,AMD,4.50,Nvidia,Asus,16,DDR5,1920x1080,15.6,512.0,2.3,22990000
50,3200,5,12500.0,Intel,4.50,Nvidia,ASUS,16,DDR4,1920x1200,16.0,512.0,,24990000
90,5200,7,13620.0,Intel,4.90,Nvidia,Asus,16,DDR5,1920x1080,15.6,1024.0,2.2,32990000
60,4800,7,13650.0,Intel,4.90,Nvidia,Lenovo,24,DDR5,1920x1080,15.6,512.0,2.45,33990000
60,5600,7,8845.0,AMD,5.10,Nvidia,Lenovo,16,DDR5,1920x1080,15.6,1024.0,,31990000
90,4800,7,7735.0,AMD,4.70,Amd,Asus,16,DDR5,1920x1200,16.0,512.0,2.2,24990000
60,4800,7,13650.0,Intel,4.90,Nvidia,Lenovo,24,DDR5,1920x1080,15.6,512.0,2.32,37990000
99.9,5600,Ultra9,185.0,Intel,5.40,Nvidia,MSI,64,DDR5,3840x2400,18.0,2048.0,2.89,102990000
73,7500,AI9,,AMD,5.10,Nvidia,ASUS,32,LPDDR5X,2560x1600,14.0,1024.0,1.46,46990000
99,4800,7,13650.0,Intel,4.90,Nvidia,Gigabyte,16,DDR5,2560x1600,16.0,1024.0,2.3,36990000
73,7500,AI9,,AMD,5.10,Nvidia,ASUS,16,LPDDR5X,2560x1600,14.0,1024.0,1.46,44990000
70,5600,7,13700.0,Intel,5.00,Nvidia,HP,32,DDR5,1920x1080,16.1,512.0,2.31,35490000
70,5600,7,13700.0,Intel,5.00,Nvidia,HP,32,DDR5,1920x1080,16.1,512.0,2.31,35490000
57,5600,7,8845.0,AMD,5.10,Nvidia,Acer,16,DDR5,1920x1200,16.0,512.0,2.5,31990000
70,5600,7,13700.0,Intel,5.00,Nvidia,HP,32,DDR5,1920x1080,16.1,512.0,2.31,34190000
70,5600,7,13700.0,Intel,5.00,Nvidia,HP,32,DDR5,1920x1080,16.1,512.0,2.31,34190000
90,4800,7,13650.0,Intel,4.90,Nvidia,Asus,16,DDR5,2560x1600,16.0,512.0,2.5,46990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Asus,32,DDR5,2560x1600,16.0,1024.0,2.5,49990000
76,6400,Ultra9,185.0,Intel,5.10,Nvidia,Acer,32,LPDDR5X,3072x1920,14.5,1024.0,1.9,49990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Acer,32,DDR5,2560x1600,16.0,1024.0,2.8,59900000
50,3200,5,13420.0,Intel,4.60,Nvidia,Acer,32,DDR4,1920x1080,15.6,512.0,1.8,22990000
90,4800,7,7435.0,AMD,4.50,Nvidia,Asus,16,DDR5,1920x1080,15.6,512.0,2.2,30490000
57,4800,5,7535.0,AMD,4.55,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.1,22990000
90,5600,7,14700.0,Intel,5.50,Nvidia,Acer,16,DDR5,2560x1600,16.0,1024.0,2.6,36990000
90,4800,7,7435.0,AMD,4.50,Nvidia,Asus,16,DDR5,1920x1080,15.6,512.0,2.2,30990000
90,4800,7,13620.0,Intel,4.90,Nvidia,Asus,16,DDR5,1920x1080,15.6,512.0,2.2,29990000
56,4800,5,13450.0,Intel,4.60,Nvidia,Dell,16,DDR5,1920x1080,15.6,512.0,2.65,26990000
90,5600,7,14700.0,Intel,5.50,Nvidia,Acer,16,DDR5,2560x1600,16.0,1024.0,2.6,36990000
57.5,5200,7,13620.0,Intel,4.90,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.5,26990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Acer,16,DDR5,2560x1600,16.0,1024.0,2.6,40990000
90,5600,5,14500.0,Intel,4.90,Nvidia,Acer,16,DDR5,2560x1600,16.0,1024.0,2.6,34990000
57.5,4800,5,12450.0,Intel,4.40,Nvidia,Acer,8,DDR5,1920x1080,15.6,512.0,2.5,26990000
54,4800,7,13620.0,Intel,4.90,Nvidia,Gigabyte,16,DDR5,1920x1080,15.6,512.0,2.08,26090000
57.5,5200,5,13420.0,Intel,4.60,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.1,23990000
50,3200,5,13420.0,Intel,4.60,Nvidia,Acer,16,DDR4,1920x1080,15.6,512.0,1.7,21490000
57.5,4800,5,12450.0,Intel,4.40,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.5,28990000
86,4800,9,13900.0,Intel,5.40,Nvidia,Dell,16,DDR5,1920x1080,15.6,1024.0,2.81,48990000
54,4800,7,13620.0,Intel,4.90,Nvidia,Gigabyte,16,DDR5,1920x1200,16.0,1024.0,2.3,27590000
86,4800,7,13650.0,Intel,4.90,Nvidia,Dell,16,DDR5,1920x1080,15.6,1024.0,2.81,42990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Asus,32,DDR5,2560x1600,16.0,1024.0,2.5,55990000
99.9,5600,9,14900.0,Intel,5.80,Nvidia,Lenovo,64,DDR5,3200x2000,16.0,2048.0,2.6,141990000
80,5600,7,14650.0,Intel,5.20,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,1024.0,2.43,33990000
80,,9,14900.0,Intel,5.80,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,1024.0,2.35,42990000
80,5600,7,14650.0,Intel,5.20,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,1024.0,2.43,35990000
75,6400,9,7940.0,AMD,5.20,Amd,Asus,16,LPDDR5,1920x1200,13.4,512.0,1.3,25990000
90,4800,7,13620.0,Intel,4.90,Nvidia,Asus,16,DDR5,1920x1080,15.6,512.0,2.2,40990000
80,5600,7,14700.0,Intel,5.50,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,1024.0,2.43,37990000
,6400,Ultra7,155.0,Intel,4.8,Intel,MSI,16,LPDDR5,1920x1080,7.0,512.0,,21990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Acer,16,DDR5,2560x1600,16.0,1024.0,2.8,56990000
60,4800,5,12450.0,Intel,4.40,Nvidia,Lenovo,16,DDR5,1920x1080,15.6,512.0,,27990000
52.4,3200,7,13620.0,Intel,4.90,Nvidia,MSI,8,DDR4,1920x1080,15.6,512.0,1.86,21990000
80,5600,7,8845.0,AMD,5.10,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,512.0,,41990000
90,,7,14700.0,Intel,5.50,Nvidia,Acer,16,DDR5,2560x1600,16.0,1024.0,2.8,51990000
99.99,5600,9,14900.0,Intel,5.80,Nvidia,Lenovo,32,DDR5,3200x2000,16.0,1024.0,2.24,66990000
90,4800,7,13650.0,Intel,4.90,Nvidia,Asus,16,DDR5,2560x1600,16.0,512.0,2.5,40990000
90,3200,7,13620.0,Intel,4.90,Nvidia,Asus,16,DDR4,2560x1600,16.0,512.0,2.0,44990000
86,4800,7,7840.0,AMD,5.10,Nvidia,Dell,16,DDR5,1920x1080,15.6,512.0,2.81,28990000
72,5600,Ultra7,155.0,Intel,4.80,Nvidia,MSI,32,DDR5,2880x1800,14.0,1024.0,1.7,51990000
57.5,5200,9,13900.0,Intel,5.40,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.1,32990000
65,5600,7,14700.0,Intel,5.50,Nvidia,MSI,16,DDR5,2560x1600,16.0,1024.0,2.3,39990000
53.5,5600,7,8845.0,AMD,5.10,Nvidia,MSI,16,DDR5,1920x1080,15.6,512.0,,28990000
99.99,5600,Ultra9,185.0,Intel,5.10,Nvidia,MSI,32,DDR5,3840x2400,18.0,2048.0,2.97,79990000
60,4800,5,12450.0,Intel,4.40,Nvidia,Lenovo,12,DDR5,1920x1080,15.6,512.0,,21490000
72,5600,Ultra7,155.0,Intel,4.80,Nvidia,MSI,32,DDR5,2880x1800,14.0,1024.0,1.7,49990000
99.99,5600,Ultra9,185.0,Intel,5.10,Nvidia,MSI,32,DDR5,3840x2400,18.0,2048.0,2.79,94990000
90,5600,Ultra7,155.0,Intel,4.80,Nvidia,MSI,32,DDR5,2560x1600,17.0,1024.0,,51990000
53.5,5200,7,8840.0,AMD,5.10,Nvidia,MSI,16,DDR5,1920x1080,15.6,512.0,,30990000
90,5600,9,13980.0,Intel,5.60,Nvidia,MSI,16,DDR5,1920x1200,16.0,1024.0,,59990000
52.4,3200,5,12450.0,Intel,4.40,Nvidia,MSI,8,DDR4,1920x1080,15.6,512.0,1.86,21990000
99.99,5600,Ultra9,185.0,Intel,5.10,Nvidia,MSI,32,DDR5,2560x1600,16.0,2048.0,1.99,64990000
83,4800,9,13950.0,Intel,5.50,Nvidia,Dell,32,DDR5,1920x1200,16.0,1024.0,2.67,87990000
83,4800,7,13850.0,Intel,5.30,Nvidia,Dell,32,DDR5,1920x1200,16.0,1024.0,2.67,80990000
53.5,5200,7,13620.0,Intel,4.90,Nvidia,MSI,16,DDR5,1920x1080,15.6,512.0,,29990000
90,,9,13950.0,Intel,5.50,Nvidia,MSI,16,,1920x1200,16.0,1024.0,,61990000
52.4,4800,5,7535.0,AMD,4.55,Nvidia,MSI,8,DDR5,1920x1080,15.6,512.0,1.86,20990000
57.5,5200,7,13620.0,Intel,4.90,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.5,30990000
90,4800,9,13900.0,Intel,5.40,Nvidia,Acer,16,DDR5,2560x1600,16.0,1024.0,2.6,37990000
90,4800,7,13620.0,Intel,4.90,Nvidia,Asus,8,DDR5,1920x1080,15.6,512.0,2.2,28990000
54,4800,5,13500.0,Intel,4.70,Nvidia,Gigabyte,8,DDR5,1920x1080,15.6,512.0,2.08,23290000
90,4800,7,13700.0,Intel,5.00,Nvidia,Acer,16,DDR5,2560x1600,16.0,1024.0,2.6,34990000
4,5600,7,7840.0,AMD,5.10,Nvidia,Lenovo,16,DDR5,1920x1080,15.6,512.0,2.4,29990000
54,4800,5,13500.0,Intel,4.70,Nvidia,Gigabyte,8,DDR5,1920x1080,15.6,512.0,2.08,26290000
57.5,5200,5,13420.0,Intel,4.60,Nvidia,Acer,8,DDR5,1920x1080,15.6,512.0,2.1,21490000
50,3200,5,13420.0,Intel,4.60,Nvidia,Acer,8,DDR4,1920x1080,15.6,512.0,1.7,20490000
80,5200,9,7945.0,AMD,5.40,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,1024.0,2.53,38990000
90,4800,9,13980.0,Intel,5.60,Nvidia,Asus,16,DDR5,2560x1600,18.0,1024.0,3.3,69990000
56,3200,5,12500.0,Intel,4.50,Nvidia,Asus,16,DDR4,1920x1080,15.6,512.0,2.2,24999000
54,4800,7,13620.0,Intel,4.90,Nvidia,Gigabyte,16,DDR5,1920x1200,16.0,512.0,2.3,29900000
54,4800,5,13500.0,Intel,4.70,Nvidia,Gigabyte,16,DDR5,1920x1080,15.6,512.0,2.08,23790000
50,,7,12650.0,Intel,4.70,Nvidia,Acer,16,DDR4,1920x1080,15.6,512.0,2.1,25690000
57.5,5200,5,13420.0,Intel,4.60,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.5,27990000
54,4800,7,13620.0,Intel,4.90,Nvidia,Gigabyte,16,DDR5,1920x1080,15.6,512.0,2.08,27990000
86,4800,7,13650.0,Intel,4.90,Nvidia,Dell,16,DDR5,1920x1080,15.6,1024.0,2.65,31990000
90,4800,7,7735.0,AMD,4.75,Nvidia,Asus,8,DDR5,1920x1080,15.6,512.0,2.2,29990000
52.5,4800,5,7535.0,AMD,4.55,Nvidia,HP,16,DDR5,1920x1080,15.6,512.0,2.29,25490000
,,7,13650.0,Intel,4.90,Nvidia,Dell,16,DDR5,1920x1080,15.6,512.0,2.65,42990000
54,3200,5,12500.0,Intel,4.50,Nvidia,Gigabyte,16,DDR4,1920x1080,15.6,512.0,1.9,25890000
54,3200,5,12500.0,Intel,4.50,Nvidia,Gigabyte,8,DDR4,1920x1080,15.6,512.0,1.9,28990000
,,7,13650.0,Intel,4.90,Nvidia,Dell,16,DDR5,1920x1080,15.6,512.0,2.65,41190000
90,,5,13500.0,Intel,4.70,Nvidia,Acer,8,DDR5,1920x1080,17.3,512.0,3.0,35490000
57.5,4800,5,12500.0,Intel,4.50,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.5,35990000
99,4800,5,12500.0,Intel,4.50,Nvidia,Gigabyte,8,DDR5,1980x1080,15.6,512.0,2.25,27990000
50,3200,5,12450.0,Intel,4.40,Nvidia,Acer,8,DDR4,1920x1080,15.6,512.0,2.1,21490000
50,3200,5,12450.0,Intel,4.40,Nvidia,Acer,16,DDR4,1920x1080,15.6,512.0,2.1,22990000
57.5,3200,7,12700.0,Intel,4.70,Nvidia,Acer,8,DDR4,1920x1080,15.6,512.0,2.5,33790000
90,5600,9,7940.0,AMD,5.20,Nvidia,Acer,16,DDR5,2560x1600,16.0,512.0,2.7,42490000
90,5600,5,7640.0,AMD,5.00,Nvidia,Acer,8,DDR5,1920x1200,16.0,512.0,2.56,30990000
90,5600,7,7840.0,AMD,5.10,Nvidia,Acer,16,DDR5,2560x1600,16.0,512.0,2.7,39990000
57.5,3200,5,12500.0,Intel,4.50,Nvidia,Acer,8,DDR4,1920x1080,15.6,512.0,2.5,29490000
90,5600,9,13900.0,Intel,5.40,Nvidia,Acer,32,DDR5,2560x1600,16.0,2048.0,2.6,102990000
90,5600,9,13900.0,Intel,5.40,Nvidia,Acer,32,DDR5,2560x1600,18.0,2048.0,3.1,104990000
90,5600,7,7840.0,AMD,5.10,Nvidia,Acer,8,DDR5,2560x1600,16.0,512.0,2.7,35990000
99.9,5200,9,13900.0,Intel,5.40,Nvidia,MSI,32,DDR5,3840x2400,16.0,2048.0,1.88,80990000
63,,5,12500.0,Intel,4.50,Nvidia,Gigabyte,16,LPDDR5,2880x1800,14.0,1024.0,1.49,34990000
70,5600,5,7640.0,AMD,5.00,Nvidia,HP,16,DDR5,1920x1080,16.1,512.0,2.31,27390000
90,4800,5,13450.0,Intel,4.60,Nvidia,Asus,8,DDR5,1920x1200,16.0,512.0,2.5,33990000
52.5,3200,5,12450.0,Intel,4.40,Nvidia,HP,16,DDR4,1920x1080,15.6,512.0,2.29,22990000
64,4800,7,13800.0,Intel,5.20,Nvidia,Dell,16,DDR5,1920x1080,15.6,512.0,1.795,44490000
83,,7,13850.0,Intel,5.30,Nvidia,Dell,16,,1920x1200,16.0,512.0,2.67,74990000
100,4800,7,13800.0,Intel,5.20,Nvidia,Dell,16,DDR5,1920x1200,16.0,512.0,,78799000
90,,7,7735.0,AMD,4.75,Nvidia,Asus,16,DDR5,1920x1080,15.6,1024.0,2.2,31990000
54,,7,1370.0,Intel,5.20,Nvidia,Dell,32,,1920x1080,14.0,1024.0,1.39,49990000
64,4800,7,13800.0,Intel,5.20,Nvidia,Dell,32,DDR5,1920x1080,15.6,1024.0,1.795,56990000
90,4800,7,13700.0,Intel,5.00,Nvidia,Acer,16,DDR5,2560x1600,16.0,512.0,2.6,49990000
64,4800,7,13800.0,Intel,5.20,Nvidia,Dell,32,DDR5,1920x1080,15.6,1024.0,1.795,53990000
99.99,5600,9,14900.0,Intel,5.80,Nvidia,Lenovo,32,DDR5,2560x1600,16.0,1024.0,2.62,106990000
80,4800,7,14650.0,Intel,5.20,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,512.0,2.4,43990000
57.5,5200,7,13620.0,Intel,4.90,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.1,25990000
53.5,4800,5,12450.0,Intel,4.40,Nvidia,MSI,16,DDR5,1920x1080,15.6,512.0,,19990000
80,5600,9,14900.0,Intel,5.80,Nvidia,Lenovo,32,DDR5,2560x1600,16.0,1024.0,2.5,56990000
60,4800,5,12450.0,Intel,4.40,Nvidia,Lenovo,12,DDR5,1920x1080,15.6,512.0,,23990000
57.5,3200,5,12450.0,Intel,4.40,Nvidia,Acer,8,DDR4,1920x1080,15.6,512.0,2.5,24990000
53.5,5600,Ultra7,155.0,Intel,4.80,Nvidia,MSI,16,DDR5,1920x1080,15.6,512.0,,30990000
52.4,4800,5,7535.0,AMD,4.55,Nvidia,MSI,8,DDR5,1920x1080,15.6,512.0,1.86,23990000
90,5600,7,14700.0,Intel,5.50,Nvidia,MSI,32,DDR5,2560x1600,17.0,2048.0,2.49,71990000
99.99,5600,Ultra9,185.0,Intel,5.10,Nvidia,MSI,64,DDR5,3840x2400,16.0,2048.0,1.99,109990000
90,5600,7,14700.0,Intel,5.50,Nvidia,MSI,64,DDR5,2560x1600,17.0,2048.0,2.49,68990000
99.99,5600,Ultra9,185.0,Intel,5.10,Nvidia,MSI,64,DDR5,3840x2400,16.0,2048.0,1.99,89990000
52.4,3200,5,12450.0,Intel,4.40,Nvidia,MSI,8,DDR4,1920x1080,15.6,512.0,1.86,17990000
65,5600,7,14700.0,Intel,5.50,Nvidia,MSI,32,DDR5,2560x1600,16.0,1024.0,2.25,45990000
80,5600,7,14650.0,Intel,5.20,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,1024.0,2.4,45990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Acer,32,DDR5,2560x1600,18.0,4096.0,3.25,104990000
65,5600,7,14650.0,Intel,5.20,Nvidia,MSI,16,DDR5,2560x1600,16.0,1024.0,2.3,39990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Acer,32,DDR5,2560x1600,16.0,2048.0,2.7,78990000
99.99,5600,9,14900.0,Intel,5.80,Nvidia,Lenovo,32,DDR5,2560x1600,16.0,1024.0,2.62,88990000
53.5,5600,7,8845.0,AMD,5.10,Nvidia,MSI,16,DDR5,1920x1080,15.6,1024.0,,39990000
53.5,5200,7,13620.0,Intel,4.90,Nvidia,MSI,16,DDR5,1920x1200,14.0,512.0,,27990000
60,4800,7,7435.0,AMD,4.50,Nvidia,Lenovo,24,DDR5,1920x1080,15.6,512.0,,31490000
80,5600,7,14700.0,Intel,5.50,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,1024.0,2.43,38990000
60,4800,7,7435.0,AMD,4.50,Nvidia,Lenovo,12,DDR5,1920x1080,15.6,512.0,,27490000
70,5600,7,14650.0,Intel,5.20,Nvidia,HP,32,DDR5,1920x1080,16.1,1024.0,2.31,44190000
70,5600,7,14650.0,Intel,5.20,Nvidia,HP,32,DDR5,1920x1080,16.1,1024.0,2.31,36490000
70,5600,7,14650.0,Intel,5.20,Nvidia,HP,32,DDR5,1920x1080,16.1,1024.0,,39990000
86,,9,13900.0,Intel,5.40,Nvidia,Dell,16,DDR5,1920x1080,15.6,1024.0,2.65,46990000
70,5600,5,7640.0,AMD,5.00,Nvidia,HP,32,DDR5,1920x1080,16.1,512.0,2.33,38790000
70,5600,5,7640.0,AMD,5.00,Nvidia,HP,32,DDR5,1920x1080,16.1,512.0,2.33,36290000
70,5600,5,7640.0,AMD,5.00,Nvidia,HP,32,DDR5,1920x1080,16.1,512.0,2.33,36290000
70,5600,7,13700.0,Intel,5.00,Nvidia,HP,32,DDR5,1920x1080,16.1,512.0,2.31,39890000
70,5600,5,7640.0,AMD,5.00,Nvidia,HP,32,DDR5,1920x1080,16.1,512.0,2.33,33790000
40,,Z1,,AMD,4.9,,Asus,16,LPDDR5,1920x1080,7.0,,0.608,12990000
60,4800,5,13450.0,Intel,4.60,Nvidia,Lenovo,12,DDR5,1920x1080,15.6,512.0,,25990000
57,5600,7,8845.0,AMD,5.10,Nvidia,Acer,16,DDR5,1920x1200,16.0,512.0,2.5,34990000
99.9,,Ultra9,185.0,Intel,5.40,Nvidia,MSI,32,DDR5,2560x1600,16.0,2048.0,1.99,70990000
90,4800,7,7435.0,AMD,4.50,Nvidia,Asus,16,DDR5,1920x1080,15.6,512.0,2.2,28490000
70,5600,7,13700.0,Intel,5.00,Nvidia,HP,32,DDR5,1920x1080,16.1,512.0,2.31,45890000
60,4800,7,7435.0,AMD,4.50,Nvidia,Lenovo,16,DDR5,1920x1080,15.6,512.0,,27990000
86,4800,7,7840.0,AMD,5.10,Nvidia,Dell,16,DDR5,1920x1080,15.6,512.0,2.81,27990000
60,4800,5,7235.0,AMD,4.20,Nvidia,Lenovo,12,DDR5,1920x1080,15.6,512.0,,23990000
,,7,13650.0,Intel,4.90,Nvidia,Dell,16,DDR5,1920x1080,15.6,1024.0,2.65,30990000
99.99,5600,9,14900.0,Intel,5.80,Nvidia,Lenovo,32,DDR5,2560x1600,16.0,2048.0,2.62,69990000
60,4800,7,13650.0,Intel,4.90,Nvidia,Lenovo,24,DDR5,1920x1080,15.6,512.0,,35990000
90,5600,9,14900.0,Intel,5.80,Nvidia,Asus,32,DDR5,2560x1600,16.0,2048.0,2.65,120000000
80,4800,9,14900.0,Intel,5.80,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,512.0,2.43,47990000
60,5600,7,8745.0,AMD,4.90,Nvidia,Lenovo,16,DDR5,1920x1080,15.6,512.0,2.4,30990000
65,5600,7,14650.0,Intel,5.20,Nvidia,MSI,16,DDR5,2560x1600,16.0,1024.0,2.3,41990000
90,5600,7,14650.0,Intel,5.20,Nvidia,Acer,16,DDR5,2560x1600,16.0,1024.0,2.8,46990000
57.5,5200,7,13620.0,Intel,4.90,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.1,32990000
57.5,5200,7,13620.0,Intel,4.90,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.1,27990000
52.5,3200,5,12450.0,Intel,4.40,Nvidia,HP,16,DDR4,1920x1080,15.6,512.0,2.29,21990000
70,5600,5,14450.0,Intel,4.80,Nvidia,HP,32,DDR5,1920x1080,16.1,1024.0,2.31,32290000
90,5600,9,14900.0,Intel,5.80,Nvidia,Acer,16,DDR5,1900x1200,16.0,1024.0,2.6,35990000
70,5600,5,14450.0,Intel,4.80,Nvidia,HP,16,DDR5,1920x1080,16.1,1024.0,2.31,31690000
90,4800,7,13650.0,Intel,4.90,Nvidia,Asus,16,DDR5,2560x1600,18.0,2048.0,3.0,40990000
60,4800,7,13650.0,Intel,4.90,Nvidia,Lenovo,24,DDR5,1920x1080,15.6,512.0,,32990000
52.5,4800,5,7535.0,AMD,4.55,Amd,HP,8,DDR5,1920x1080,15.6,512.0,2.29,17990000
99.99,5600,Ultra9,185.0,Intel,5.10,Nvidia,MSI,64,DDR5,2560x1600,16.0,1024.0,1.99,78990000
54,5600,Ultra7,165.0,Intel,5.0,Intel,Dell,16,DDR5,1920x1080,15.6,512.0,1.62,46990000
90,5600,9,14900.0,Intel,5.80,Nvidia,MSI,16,DDR5,2560x1600,16.0,1024.0,2.5,45990000
48,5600,7,7435.0,AMD,4.50,Nvidia,Asus,16,DDR5,1920x1080,15.6,512.0,2.3,21990000
57,4800,5,6600.0,AMD,4.50,Nvidia,Acer,16,DDR5,1920x1080,15.6,512.0,2.1,22990000
60,4800,5,7235.0,AMD,4.20,Nvidia,Lenovo,24,DDR5,1920x1080,15.6,512.0,,24490000
90,4800,7,7435.0,AMD,4.50,Amd,Asus,16,DDR5,1920x1200,16.0,512.0,2.2,28490000
90,4800,7,13650.0,Intel,4.90,Nvidia,Asus,16,DDR5,2560x1600,16.0,512.0,2.5,38990000
56,3200,5,12500.0,Intel,4.50,Nvidia,Asus,8,DDR4,1920x1080,15.6,512.0,2.2,23990000
80,5600,9,14900.0,Intel,5.80,Nvidia,Lenovo,32,DDR5,2560x1600,16.0,1024.0,2.5,49990000
80,5600,7,14650.0,Intel,5.20,Nvidia,Lenovo,16,DDR5,2560x1600,16.0,512.0,2.36,38990000
