battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
"73WHrs,",6400MHz,9,8945HS,AMD,"5.20GHz,",NVIDIA,Asus,45.990.000,16GB,LPDDR5X,2880 x 1800,14.0,1TB,1.50 Kg
"73WHrs,",6400MHz,9,8945HS,AMD,"5.20GHz,",NVIDIA,Asus,50.990.000,32GB,LPDDR5X,2880 x 1800,14.0,1TB,1.50 Kg
64Wh,4800MHz,i9,13900H,Intel,"5.40GHz,",NVIDIA,Dell,60.990.000,16GB(1x16GB),DDR5,1920 x 1080,15.6,512GB,1.79 kg
80Wh,4800MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Dell,36.990.000,16GB,LPDDR5,2560x1600,14,512GB,1.91 kg
"50WHrs,",3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA®,ASUS,20.990.000,16GB,DDR4,1920x1200,16,512GB,Indie Black (Đen)
"73WHrs,",6400MHz,9,8945HS,AMD,"5.20GHz,",NVIDIA,Asus,51.990.000,32GB,LPDDR5X,2880 x 1800,14.0,1TB,1.50 Kg
60Wh,4800MHz,5,7235HS,AMD,"4.20GHz,",NVIDIA®,Lenovo,19.990.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
60Wh,4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Lenovo,28.990.000,16GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
99.99WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,66.990.000,32GB,DDR5,3200x2000,16,1TB,2.24 kg
"90WHrs,",4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,40.990.000,16GB,DDR5,1920 x 1200,16,1TB,2.50 kg
"90WHrs,",4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,38.990.000,16GB,DDR5,1920 x 1200,16,1TB,2.50 kg
"90WHrs,",5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Asus,56.990.000,32GB,DDR5,2560 x 1600,16,1TB,2.50 kg
"90WHrs,",4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,42.990.000,16GB,DDR5,2560 x 1600,18,1TB,3.30 kg
"90WHrs,",5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Asus,58.990.000,32GB,DDR5,WQXGA,18,1TB,3.00 kg
60Wh,4800MHz,i5,12450HX,Intel,"4.40GHz,",NVIDIA,Lenovo,18.990.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
Cell,3200MHz,i7,12700H,Intel,"4.70GHz,",NVIDIA,Gigabyte,33.990.000,16GB(2x8GB),DDR4,1920x1080,15.6,512GB,2.30 kg
90WHrs,5600MHz,i9,14900HX,Intel,"5.80GHz,",NNVIDIA®,MSI,51.990.000,32GB,DDR5,2560x1600,17,1TB,Cosmo Gray (Xám)
65Whrs,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,MSI,37.990.000,32GB,DDR5,1920 x 1200,16,1TB,2.3 Kg
"90WHrs,",5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Asus,51.990.000,32GB,DDR5,WQXGA,18,1TB,3.00 kg
99Wh,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,Gigabyte,46.990.000,16GB,DDR5,2560x1600,16.0,1TB,2.3 kg
90Wh,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,Acer,67.990.000,32GB,DDR5,2560 x 1600,16,2TB,2.70 kg
"48WHrs,",5600MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Asus,23.490.000,16GB,DDR5,1920 x 1080,15.6-,512GB,2.08 Kg
60Wh,4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Lenovo,24.990.000,16GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
60Wh,4800MHz,i5,12450HX,Intel,"4.40GHz,",NVIDIA,Lenovo,20.990.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
80Wh,5200MHz,9,7945HX,AMD,"5.40GHz,",NVIDIA®,Lenovo,38.990.000,16GB,DDR5,2560x1600,16.0,1TB,2.55 Kg
70Wh,3200MHz,i5,12450H,Intel,"4.70GHz,",NVIDIA®,HP,18.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,2.29 kg
97Wh,,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Dell,79.990.000,32GB,DDR5,2560x1600,18,1TB,4.23 kg
90WHrs,3200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Asus,40.990.000,16GB,DDR4,"1920 x 1200, WUXGA",16,512GB,2.00 Kg
99.99WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,66.990.000,16GB,DDR5,2560x1600,16.0,1TB,2.62 kg
59WHrs,,5,7535HS,AMD,"4.55GHz,",NVIDIA®,Acer,22.990.000,8GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
80Wh,5600MHz,7,8845HS,AMD,"5.10GHz,",NNVIDIA®,Lenovo,44.990.000,32GB,DDR5,2560x1600,16,1TB,Luna Grey (Xám)
57Wh,5600MHz,7,8845HS,AMD,"5.10GHz,",NVIDIA®,Acer,28.790.000,16GB(1x16GB),DDR5,1920 x 1200,16,512GB,2.5kg
57Wh,5600MHz,5,8645HS,AMD,"5.00GHz,",NVIDIA®,Acer,27.490.000,16GB(1x16GB),DDR5,1920 x 1200,16,512GB,2.5kg
"70WHrs,",3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA®,ASUS,28.490.000,16GB,DDR4,1920x1200,16,512GB,Indie Black (Đen)
"48WHrs,",5600MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Asus,22.990.000,16GB,DDR5,1920 x 1080,15.6-,512GB,2.30 Kg
"50WHrs,",3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA®,ASUS,24.990.000,16GB,DDR4,1920x1200,16,512GB,Indie Black (Đen)
"90WHrs,",5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA® GeForce RTX™ 4060,Asus,32.990.000,16GB,DDR5,1920 x 1080,15.6,1TB,2.20 Kg
60WH,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Lenovo,33.990.000,24GB,DDR5,1920 x 1080,15.6,512GB,2.45 kg
60Wh,5600MHz,7,8845HS,AMD,"5.10GHz,",NVIDIA®,Lenovo,31.990.000,16GB,DDR5,1920x1080,15.6,1TB,Luna Grey (Xám)
90WHrs,4800MHz,7,7735HS,AMD,"4.70GHz,",AMD,Asus,24.990.000,16GB,DDR5,1920 x 1200,16.0,512GB,2.20Kg
60WH,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Lenovo,37.990.000,24GB,DDR5,1920 x 1080,15.6,512GB,2.32 kg
99.9WHrs,5600MHz,Ultra9,185H,Intel,"5.40GHz,",Nvidia,MSI,102.990.000,64GB,DDR5,3840x2400,18,2TB,2.89 kg
73WHrs,7500MHz,AI9,HX,AMD,"5.10GHz,",NVIDIA®,ASUS,46.990.000,32GB,LPDDR5X,"2560 x 1600, WQXGA",14,1TB,1.46Kg
99Wh,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Gigabyte,36.990.000,16GB,DDR5,2560x1600,16.0,1TB,2.3 kg
73WHrs,7500MHz,AI9,HX,AMD,"5.10GHz,",NVIDIA®,ASUS,44.990.000,16GB,LPDDR5X,"2560 x 1600, WQXGA",14,1TB,1.46Kg
70WHrs,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,HP,35.490.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.31 kg
70WHrs,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,HP,35.490.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.31 kg
57Wh,5600MHz,7,8845HS,AMD,"5.10GHz,",NVIDIA®,Acer,31.990.000,16GB(1x16GB),DDR5,1920 x 1200,16,512GB,2.5kg
70WHrs,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,HP,34.190.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.31 kg
70WHrs,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,HP,34.190.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.31 kg
"90WHrs,",4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,46.990.000,16GB,DDR5,WQXGA,16-,512GB,2.50 kg
"90WHrs,",5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Asus,49.990.000,32GB,DDR5,"2560 x 1600, WQXGA",16,1TB,2.50 kg
76Whr,6400MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA,Acer,49.990.000,32GB,LPDDR5X,3072 x 1920,14.5,1TB,1.9 kg
90Wh,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,Acer,59.900.000,32GB,DDR5,2560 x 1600,16,1TB,2.8 kg
50Wh,3200MHz,i5,13420H,Intel,4.60GHz,NVIDIA®,Acer,22.990.000,32GB(2x16GB),DDR4,1920 x 1080,15.6,512GB,1.8 kg
"90WHrs,",4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Asus,30.490.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.20Kg
57WHrs,4800MHz,5,7535HS,AMD,"4.55GHz,",NVIDIA®,Acer,22.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
90Wh,5600MHz,i7,14700HX,Intel,"5.50GHz,",NVIDIA,Acer,36.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.6 kg
"90WHrs,",4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Asus,30.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.20Kg
"90WHrs,",4800MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA® GeForce RTX™ 4050,Asus,29.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.20 Kg
56Wh,4800MHz,i5,13450HX,Intel,"4.60GHz,",NVIDIA,Dell,26.990.000,16GB,DDR5,1920x1080,15.6,512GB,2.65 Kg
90Wh,5600MHz,i7,14700HX,Intel,"5.50GHz,",NVIDIA,Acer,36.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.6 kg
57.5,5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Acer,26.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.5kg
90Wh,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,Acer,40.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.6 kg
90Wh,5600MHz,i5,14500HX,Intel,"4.90GHz,",NVIDIA,Acer,34.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.6 kg
57.5,4800MHz,i5,12450H,Intel,"4.40GHz,",NVIDIA®,Acer,26.990.000,8GB,DDR5,1920 x 1080,15.6,512GB,2.5kg
54WHrs,4800MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Gigabyte,26.090.000,16GB,DDR5,1920x1080,15.6,512GB,2.08 kg
57.5Wh,5200MHz,i5,13420H,Intel,"4.60GHz,",NVIDIA®,Acer,23.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
50Wh,3200MHz,i5,13420H,Intel,4.60GHz,NVIDIA®,Acer,21.490.000,16GB,DDR4,1920 x 1080,15.6,"512GB,",1.7 kg
57.5,4800MHz,i5,12450H,Intel,"4.40GHz,",NVIDIA®,Acer,28.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.5kg
86WHrs,4800MHz,i9,13900HX,Intel,"5.40GHz,",NVIDIA,Dell,48.990.000,16GB(8GBx2),DDR5,1920x1080,15.6,1TB,2.81 Kg
54WHrs,4800MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Gigabyte,27.590.000,16GB(2x8GB),DDR5,1920x1200,16.0,1TB,2.30 kg
86WHrs,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA,Dell,42.990.000,16GB(8GBx2),DDR5,1920x1080,15.6,1TB,2.81 Kg
"90WHrs,",5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Asus,55.990.000,32GB,DDR5,"2560 x 1600, WQXGA",16,1TB,2.50 kg
99.9Wh,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,141.990.000,64GB,DDR5,3200x2000,16,2TB,2.60 kg
80WH,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,Lenovo,33.990.000,16GB,DDR5,"WQXGA, 2560x1600",16.0,1TB,2.43 kg
80Wh,,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,42.990.000,16GB,DDR5,"WQXGA, 2560×1600",16.0,1TB,2.35 Kg
80WH,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,Lenovo,35.990.000,16GB,DDR5,"WQXGA, 2560x1600",16.0,1TB,2.43 kg
75WHrs,6400MHz,9,7940HS,AMD,"5.20GHz,",AMD,Asus,25.990.000,16GB,LPDDR5,1920 x1200,13.4,512GB,1.30 Kg
"90WHrs,",4800MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA® GeForce RTX™ 4070,Asus,40.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.20 Kg
80WH,5600MHz,i7,14700HX,Intel,"5.50GHz,",NVIDIA®,Lenovo,37.990.000,16GB,DDR5,"WQXGA, 2560x1600",16.0,1TB,2.43 kg
"cell,",6400MHz,Ultra7,155H,Intel,"4.8GHz,",Intel®,MSI,21.990.000,16GB,LPDDR5,1920 x 1080,7.0,512GB,Windows 11 Home
90Wh,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,Acer,56.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.8 kg
60Wh,4800MHz,i5,12450HX,Intel,"4.40GHz,",NVIDIA®,Lenovo,27.990.000,16GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
52.4Whrs,3200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,MSI,21.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.86 Kg
80Wh,5600MHz,7,8845HS,AMD,"5.10GHz,",NNVIDIA®,Lenovo,41.990.000,16GB,DDR5,2560x1600,16,512GB,Luna Grey (Xám)
90Wh,,i7,14700HX,Intel,"5.50GHz,",NVIDIA,Acer,51.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.8 kg
99.99WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,66.990.000,32GB,DDR5,3200x2000,16,1TB,2.24 kg
"90WHrs,",4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,40.990.000,16GB,DDR5,WQXGA,16-,512GB,2.50 kg
"90WHrs,",3200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Asus,44.990.000,16GB,DDR4,"2560 x 1600, WQXGA",16.0,512GB,2.00 Kg
86WHrs,4800MHz,7,7840HS,AMD,"5.10GHz,",NVIDIA,Dell,28.990.000,16GB,DDR5,1920x1080,15.6,512GB,2.81 Kg
72Whr,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,MSI,51.990.000,32GB,DDR5,2880x1800,14,1TB,1.70 kg
57.5Wh,5200MHz,i9,13900H,Intel,"5.40GHz,",NVIDIA®,Acer,32.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
65Whrs,5600MHz,i7,14700HX,Intel,"5.50GHz,",NVIDIA®,MSI,39.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.3 Kg
53.5Whr,5600MHz,7,8845HS,AMD,"5.10GHz,",NVIDIA,MSI,28.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,Black
99.99Whr,5600MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,MSI,79.990.000,32GB,DDR5,3840x2400,18,2TB,2.97 kg
60Wh,4800MHz,i5,12450HX,Intel,"4.40GHz,",NVIDIA,Lenovo,21.490.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
72Whr,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,MSI,49.990.000,32GB,DDR5,2880x1800,14,1TB,1.70 kg
99.99Whr,5600MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,MSI,94.990.000,32GB,DDR5,3840x2400,18,2TB,2.79 kg
90Whr,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA,MSI,51.990.000,32GB,DDR5,2560 x 1600,17,1TB,kg
53.5Whr,5200MHz,7,8840H,AMD,"5.10GHz,",NVIDIA,MSI,30.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,Black
90WHrs,5600MHz,i9,13980HX,Intel,"5.60GHz,",NVIDIA®,MSI,59.990.000,16GB(2x8GB),DDR5,1920 x 1200,16,1TB,Cosmos Gray (Xám)
52.4Whrs,3200MHz,i5,12450H,Intel,"4.40GHz,",NVIDIA®,MSI,21.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.86 Kg
99.99Whr,5600MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,MSI,64.990.000,32GB,DDR5,2560 x 1600,16,2TB,1.99 kg
83Whr,4800MHz,i9,13950HX,Intel,"5.50GHz,",NVIDIA®,Dell,87.990.000,32GB,DDR5,1920x1200,16,1TB,2.67kg
83Whr,4800MHz,i7,13850HX,Intel,"5.30GHz,",NVIDIA®,Dell,80.990.000,32GB,DDR5,1920x1200,16,1TB,2.67kg
53.5Whr,5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,MSI,29.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,Translucent Black
90WHrs,,i9,13950HX,Intel,"5.50GHz,",NVIDIA®,MSI,61.990.000,16GB,,1920 x 1200,16.0,1TB,Cosmos Gray (Xám)
52.4Whrs,4800MHz,5,7535HS,AMD,"4.55GHz,",NVIDIA®,MSI,20.990.000,8GB,DDR5,1920 x 1080,15.6,512GB,1.86 Kg
57.5,5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Acer,30.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.5kg
90Wh,4800MHz,i9,13900HX,Intel,"5.40GHz,",NVIDIA,Acer,37.990.000,16GB,DDR5,2560x1600,16,1TB,2.6 kg
"90WHrs,",4800MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA® GeForce RTX™ 4050,Asus,28.990.000,8GB,DDR5,1920 x 1080,15.6,512GB,2.20 Kg
