battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
54WHrs,4800MHz,i5,13500H,Intel,"4.70GHz,",NVIDIA®,Gigabyte,23.290.000,8GB,DDR5,1920x1080,15.6,512GB,2.08 kg
90Wh,4800MHz,i7,13700HX,Intel,"5.00GHz,",NVIDIA,Acer,34.990.000,16GB,DDR5,2560x1600,16,1TB,2.6 kg
4Cell,5600MHz,7,7840H,AMD,"5.10GHz,",NVIDIA®GeForce®,Lenovo,29.990.000,16GB,DDR5,1920x1080,15.6,512GB,2.4 Kg
54WHrs,4800MHz,i5,13500H,Intel,"4.70GHz,",NVIDIA®,Gigabyte,26.290.000,8GB,DDR5,1920x1080,15.6,512GB,2.08 kg
57.5Wh,5200MHz,i5,13420H,Intel,"4.60GHz,",NVIDIA®,Acer,21.490.000,8GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
50Wh,3200MHz,i5,13420H,Intel,4.60GHz,NVIDIA®,Acer,20.490.000,8GB,DDR4,1920 x 1080,15.6,"512GB,",1.7 kg
80Wh,5200MHz,9,7945HX,AMD,"5.40GHz,",NVIDIA®,Lenovo,38.990.000,16GB,DDR5,2560 x 1600,16.0,1TB,2.53 Kg
"90WHrs,",4800MHz,i9,13980HX,Intel,"5.60GHz,",NVIDIA®,Asus,69.990.000,16GB,DDR5,WQXGA,18-,1TB,3.30 kg
"56WHrs,",3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA® GeForce RTX™ 3050,Asus,24.999.000,16GB,DDR4,1920 x 1080,15.6,512GB,2.20Kg
54WHrs,4800MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Gigabyte,29.900.000,16GB(2x8GB),DDR5,1920x1200,16.0,512GB,2.30 kg
54WHrs,4800MHz,i5,13500H,Intel,"4.70GHz,",NVIDIA®,Gigabyte,23.790.000,16GB,DDR5,1920x1080,15.6,512GB,2.08 kg
50Wh,,i7,12650H,Intel,"4.70GHz,",NVIDIA®,Acer,25.690.000,16GB,DDR4,1920 x 1080,15.6,512GB,2.1 kg
57.5,5200MHz,i5,13420H,Intel,"4.60GHz,",NVIDIA®,Acer,27.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.5kg
54WHrs,4800MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Gigabyte,27.990.000,16GB,DDR5,1920x1080,15.6,512GB,2.08 kg
86WHrs,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA,Dell,31.990.000,16GB,DDR5,1920x1080,15.6,1TB,2.65 Kg
"90WHrs,",4800MHz,7,7735HS,AMD,"4.75GHz,",NVIDIA®,Asus,29.990.000,8GB,DDR5,1920 x 1080,15.6,512GB,2.20Kg
52.5Wh,4800MHz,5,7535HS,AMD,"4.55GHz,",NVIDIA®,HP,25.490.000,16GB,DDR5,1920 x 1080,15.6,512,2.29 kg
Cell,,i7,13650HX,Intel,"4.90GHz,",NVIDIA,Dell,42.990.000,16GB(2x8GB),DDR5,1920x1080,15.6,512GB,2.65 Kg
54WHrs,3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA®,Gigabyte,25.890.000,16GB(2x8GB),DDR4,1920x1080,15.6,512GB,1.90 kg
54WHrs,3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA®,Gigabyte,28.990.000,8GB(1x8GB),DDR4,1920x1080,15.6,512GB,1.90 kg
Cell,,i7,13650HX,Intel,"4.90GHz,",NVIDIA,Dell,41.190.000,16GB(2x8GB),DDR5,1920x1080,15.6,512GB,2.65 Kg
90Wh,,i5,13500H,Intel,"4.70GHz,",NVIDIA,Acer,35.490.000,8GB,DDR5,1920 x 1080,17.3,512GB,3.00kg
57.5,4800MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA®,Acer,35.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.5kg
99Wh,4800MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA,Gigabyte,27.990.000,8GB,DDR5,1980 x 1080,15.6,512GB,2.25kg
50Wh,3200MHz,i5,12450H,Intel,"4.40GHz,",NVIDIA®,Acer,21.490.000,8GB,DDR4,1920 x 1080,15.6,512GB,2.1kg
50Wh,3200MHz,i5,12450H,Intel,4.40GHz,NVIDIA,Acer,22.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,2.1kg
57.5,3200MHz,i7,12700H,Intel,"4.70GHz,",NVIDIA®,Acer,33.790.000,8GB,DDR4,1920 x 1080,15.6,512GB,2.5kg
90Wh,5600MHz,9,7940HS,AMD,"5.20GHz,",NVIDIA®,Acer,42.490.000,16GB,DDR5,2560x1600,16,512GB,2.7 kg
90Wh,5600MHz,5,7640HS,AMD,"5.00GHz,",NVIDIA®,Acer,30.990.000,8GB,DDR5,1920 x 1200,16,512GB,2.56 kg
90Wh,5600MHz,7,7840HS,AMD,"5.10GHz,",NVIDIA®,Acer,39.990.000,16GB,DDR5,2560x1600,16,512GB,2.7 kg
57.5,3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA®,Acer,29.490.000,8GB,DDR4,1920 x 1080,15.6,512GB,2.5kg
90,5600MHz,i9,13900HX,Intel,"5.40GHz,",NVIDIA,Acer,102.990.000,32GB(2x16GB),DDR5,2560 x 1600,16,2TB,2.6 kg
90Wh,5600MHz,i9,13900HX,Intel,"5.40GHz,",NVIDIA,Acer,104.990.000,32GB(2x16GB),DDR5,2560 x 1600,18,2TB,3.1 kg
90Wh,5600MHz,7,7840HS,AMD,"5.10GHz,",NVIDIA®,Acer,35.990.000,8GB,DDR5,2560x1600,16,512GB,2.7 kg
99.9WHrs,5200MHz,i9,13900H,Intel,"5.40GHz,",Nvidia,MSI,80.990.000,32GB,DDR5,3840x2400,16,2TB,1.88 kg
63Whrs,,i5,12500H,Intel,"4.50GHz,",NVIDIA,Gigabyte,34.990.000,16GB,LPDDR5,2880x1800,14.0,1TB,1.49 kg
70WHrs,5600MHz,5,7640HS,AMD,"5.00GHz,",NVIDIA®,HP,27.390.000,16GB,DDR5,1920 x 1080,16.1,512GB,2.31 kg
"90WHrs,",4800MHz,i5,13450HX,Intel,"4.60GHz,",NVIDIA®,Asus,33.990.000,8GB,DDR5,WUXGA,16-,512GB,2.50 kg
52.5Wh,3200MHz,i5,12450H,Intel,"4.40GHz,",NVIDIA®,HP,22.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,2.29 kg
64Wh,4800MHz,i7,13800H,Intel,"5.20GHz,",NVIDIA,Dell,44.490.000,16GB,DDR5,1920 x 1080,15.6,512GB,1.795Kg
83Whr,,i7,13850HX,Intel,"5.30GHz,",NVIDIA,Dell,74.990.000,16GB,,1920x1200,16,512GB,2.67kg
100Wh,4800MHz,i7,13800H,Intel,"5.20GHz,",NVIDIA,Dell,78.799.000,16GB,DDR5,1920x1200,16,512GB,
"90WHrs,",,7,7735HS,AMD,"4.75GHz,",NVIDIA®,Asus,31.990.000,16GB,DDR5,1920 x 1080,15.6,1TB,2.20Kg
54Wh,,i7,1370P,Intel,"5.20GHz,",NVIDIA®,Dell,49.990.000,32GB,,1920 x 1080,14,1TB,1.39 kg
64Wh,4800MHz,i7,13800H,Intel,"5.20GHz,",NVIDIA,Dell,56.990.000,32GB,DDR5,1920 x 1080,15.6,1TB,1.795Kg
90Wh,4800MHz,i7,13700HX,Intel,"5.00GHz,",NVIDIA,Acer,49.990.000,16GB,DDR5,2560 x 1600,16,512GB,2.6 kg
64Wh,4800MHz,i7,13800H,Intel,"5.20GHz,",NVIDIA,Dell,53.990.000,32GB,DDR5,1920 x 1080,15.6,1TB,1.795Kg
99.99WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,106.990.000,32GB,DDR5,2560x1600,16.0,1TB,2.62 kg
80WH,4800MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,Lenovo,43.990.000,16GB(16GBx1),DDR5,2560x1600,16.0,512GB,2.40 kg
57.5Wh,5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Acer,25.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
53.5Whr,4800MHz,i5,12450H,Intel,"4.40GHz,",NVIDIA,MSI,19.990.000,16GB,DDR5,1920x1080,15.6,512GB,Translucent Black
80WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,56.990.000,32GB,DDR5,2560x1600,16.0,1TB,2.5 kg
60Wh,4800MHz,i5,12450HX,Intel,"4.40GHz,",NVIDIA,Lenovo,23.990.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
57.5,3200MHz,i5,12450H,Intel,"4.40GHz,",NVIDIA®,Acer,24.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,2.5kg
53.5Whr,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA,MSI,30.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,Translucent Black
52.4Whrs,4800MHz,5,7535HS,AMD,"4.55GHz,",NVIDIA®,MSI,23.990.000,8GB,DDR5,1920 x 1080,15.6,512GB,1.86 Kg
90Whr,5600MHz,i7,14700HX,Intel,"5.50GHz,",NVIDIA®,MSI,71.990.000,32GB,DDR5,2560x1600,17,2TB,2.49 kg
99.99Whr,5600MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,MSI,109.990.000,64GB,DDR5,3840x2400,16,2TB,1.99 kg
90Whr,5600MHz,i7,14700HX,Intel,"5.50GHz,",NVIDIA®,MSI,68.990.000,64GB,DDR5,2560x1600,17,2TB,2.49 kg
99.99Whr,5600MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,MSI,89.990.000,64GB,DDR5,3840x2400,16,2TB,1.99 kg
52.4Whrs,3200MHz,i5,12450H,Intel,"4.40GHz,",NVIDIA®,MSI,17.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.86 Kg
65Whr,5600MHz,i7,14700HX,Intel,"5.50GHz,",NVIDIA®,MSI,45.990.000,32GB(16GBx2),DDR5,2560 x 1600,16,1TB,2.25 kg
80WH,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,Lenovo,45.990.000,16GB,DDR5,2560x1600,16.0,1TB,2.40 kg
90Wh,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,Acer,104.990.000,32GB,DDR5,2560 x 1600,18,4TB,3.25 kg
65Whrs,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,MSI,39.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.3 Kg
90Wh,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,Acer,78.990.000,32GB,DDR5,2560 x 1600,16,2TB,2.70 kg
99.99WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,88.990.000,32GB,DDR5,2560x1600,16.0,1TB,2.62 kg
53.5Whr,5600MHz,7,8845HS,AMD,"5.10GHz,",NVIDIA,MSI,39.990.000,16GB,DDR5,1920 x 1080,15.6,1TB,Black
53.5Whr,5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,MSI,27.990.000,16GB,DDR5,1920x1200,14.0,512GB,Translucent Black
60Wh,4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Lenovo,31.490.000,24GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
80WH,5600MHz,i7,14700HX,Intel,"5.50GHz,",NVIDIA®,Lenovo,38.990.000,16GB,DDR5,"WQXGA, 2560x1600",16.0,1TB,2.43 kg
60Wh,4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Lenovo,27.490.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
70Wh,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA,HP,44.190.000,32GB,DDR5,1920 x 1080,16.1,1TB,2.31kg
70Wh,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA,HP,36.490.000,32GB,DDR5,1920 x 1080,16.1,1TB,2.31kg
70Wh,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA,HP,39.990.000,32GB,DDR5,1920 x 1080,16.1,1TB,kg
86WHrs,,i9,13900HX,Intel,"5.40GHz,",NVIDIA,Dell,46.990.000,16GB(2x8GB),DDR5,1920x1080,15.6,1TB,2.65 Kg
70WHrs,5600MHz,5,7640HS,AMD,"5.00GHz,",NVIDIA®,HP,38.790.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.33 kg
70WHrs,5600MHz,5,7640HS,AMD,"5.00GHz,",NVIDIA®,HP,36.290.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.33 kg
70WHrs,5600MHz,5,7640HS,AMD,"5.00GHz,",NVIDIA®,HP,36.290.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.33 kg
70WHrs,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,HP,39.890.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.31 kg
70WHrs,5600MHz,5,7640HS,AMD,"5.00GHz,",NVIDIA®,HP,33.790.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.33 kg
"40WHrs,",,Z1,,AMD,"4.9GHz,",512GB,Asus,12.990.000,16GB,LPDDR5,1920 x 1080,7.0,AMD,608g
60Wh,4800MHz,i5,13450HX,Intel,"4.60GHz,",NVIDIA®,Lenovo,25.990.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
57Wh,5600MHz,7,8845HS,AMD,"5.10GHz,",NVIDIA®,Acer,34.990.000,16GB(1x16GB),DDR5,1920 x 1200,16,512GB,2.5kg
99.9WHrs,,Ultra9,185H,Intel,"5.40GHz,",Nvidia,MSI,70.990.000,32GB,DDR5,2560 x 1600,16,2TB,1.99 kg
"90WHrs,",4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Asus,28.490.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.20Kg
70WHrs,5600MHz,i7,13700H,Intel,"5.00GHz,",NVIDIA®,HP,45.890.000,32GB,DDR5,1920 x 1080,16.1,512GB,2.31 kg
60Wh,4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Lenovo,27.990.000,16GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
86WHrs,4800MHz,7,7840HS,AMD,"5.10GHz,",NVIDIA,Dell,27.990.000,16GB,DDR5,1920x1080,15.6,512GB,2.81 Kg
60Wh,4800MHz,5,7235HS,AMD,"4.20GHz,",NVIDIA®,Lenovo,23.990.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
,,i7,13650HX,Intel,"4.90GHz,",NVIDIA,Dell,30.990.000,16GB,DDR5,1920x1080,15.6,1TB,2.65 Kg
99.99WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,69.990.000,32GB,DDR5,2560x1600,16.0,2TB,2.62 kg
60Wh,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Lenovo,35.990.000,24GB(2x,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
"90WHrs,",5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Asus,120.000.000,32GB,DDR5,"2560 x 1600, WQXGA",16,2TB,2.65 kg
80WH,4800MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,47.990.000,16GB,DDR5,2560x1600,16.0,512GB,2.43 kg
60Wh,5600MHz,7,8745H,AMD,"4.90GHz,",NVIDIA®GeForce®,Lenovo,30.990.000,16GB,DDR5,1920x1080,15.6,512GB,2.4 Kg
65Whrs,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,MSI,41.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.30 Kg
90Wh,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA,Acer,46.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.8 kg
57.5Wh,5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Acer,32.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
57.5Wh,5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Acer,27.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
52.5Wh,3200MHz,i5,12450H,Intel,"4.40GHz,",NVIDIA®,HP,21.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,2.29 kg
70Wh,5600MHz,i5,14450HX,Intel,"4.80GHz,",NVIDIA,HP,32.290.000,32GB,DDR5,1920 x 1080,16.1,1TB,2.31kg
90Wh,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,Acer,35.990.000,16GB,DDR5,1900 x 1200,16,1TB,2.6 kg
70Wh,5600MHz,i5,14450HX,Intel,"4.80GHz,",NVIDIA,HP,31.690.000,16GB,DDR5,1920 x 1080,16.1,1TB,2.31kg
90WHrs,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,40.990.000,16GB,DDR5,2560 x 1600,18,2TB,3.00 kg
60Wh,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Lenovo,32.990.000,24GB(2x,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
52.5Whrs,4800MHz,5,7535HS,AMD,"4.55GHz,",AMD,HP,17.990.000,8GB,DDR5,1920 x 1080,"15.6-,",512GB,2.29 kg
99.99Whr,5600MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,MSI,78.990.000,64GB,DDR5,2560 x 1600,16,1TB,1.99 kg
54WHr,5600MHz,Ultra7,165H,Intel,"5.0GHz,",Intel,Dell,46.990.000,16GB(1,DDR5,1920x1080,15.6,512GB,1.62 kg
90Whr,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,MSI,45.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.5 kg
"48WHrs,",5600MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Asus,21.990.000,16GB,DDR5,1920 x 1080,15.6-,512GB,2.30 Kg
57WHrs,4800MHz,5,6600H,AMD,"4.50GHz,",NVIDIA®,Acer,22.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
60Wh,4800MHz,5,7235HS,AMD,"4.20GHz,",NVIDIA®,Lenovo,24.490.000,24GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
90WHrs,4800MHz,7,7435HS,AMD,"4.50GHz,",AMD,Asus,28.490.000,16GB,DDR5,1920 x 1200,16.0,512GB,2.20Kg
"90WHrs,",4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,38.990.000,16GB,DDR5,"2560 x 1600, WQXGA",16-,512GB,2.50 kg
"56WHrs,",3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA® GeForce RTX™ 3050,Asus,23.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,2.20Kg
80WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,49.990.000,32GB,DDR5,2560x1600,16.0,1TB,2.5 kg
80WH,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,Lenovo,38.990.000,16GB,DDR5,2560x1600,16.0,512GB,2.36 kg
